,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC
1992-01-02,9.10000038,4.45,8.18,0,19.062351414658398,596.1437603095011,0.010082836,0.0302048744716608,1.2384154809999999,0,1,24.816139919429197,1,417.26,411.04,417.27,416.96,23.31061453,17.9,0.9200003800000011,1,0,0.0,27.168881333990804,0.028762977999999998,4.61,3.86,0.0006556779834282651,6.8,1066.0,2.835,6.782,83.88,0.0028651809999999996,58.0,50.0,53.1,35340.0,9.997882919,30660.0,1491.0,5.95,0.026859239263717,18.95,2.3179,39.539,9.0,3.3899369139999997,871.0,223.8
1992-01-03,9.10999966,4.45,8.17,0,19.1601688480618,596.1437603095011,0.010082836,0.0302048744716608,1.1861524559999999,0,1,24.9427063426733,0,419.34,416.16,419.79,417.27,23.42681564,17.9,0.93999966,0,0,0.0,27.3032212062324,0.028376306,4.06,3.85,-0.0103331282066664,6.8,1066.0,2.891,6.837000000000001,84.42,0.0028651809999999996,58.0,50.0,53.1,31020.0,9.955570534,53160.0,1489.0,5.95,0.0258333018397208,18.75,2.332,39.2862,9.0,3.40943906,1079.0,201.43
1992-01-06,9.10999966,4.45,8.15,0,19.0998978027134,596.1437603095011,0.010082836,0.0302048744716608,1.16920324,0,1,24.8634835019495,0,417.96,416.92,419.44,419.23,23.34972067,17.9,0.9599996599999989,0,0,0.0,27.2121486896997,0.028724376,4.04,3.81,-0.00886188450869177,6.8,1066.0,2.905,6.797999999999999,83.11,0.0028651809999999996,58.0,50.0,53.1,35640.0,8.398462843999999,33180.0,1479.0,5.95,0.0266243049188562,18.96,2.3232,39.1695,9.0,3.3956102660000003,1059.0,128.72
1992-01-07,9.09000015,4.45,8.13,0,19.077084711069,596.1437603095011,0.010082836,0.0302048744716608,1.063948759,0,1,24.8330314676411,0,417.4,415.2,417.96,417.65,23.31843575,17.9,0.9600001499999989,0,0,0.0,27.1744566573874,0.02880024,3.67,3.75,0.00708756335833203,6.8,1066.0,2.911,6.755,82.84,0.0028651809999999996,58.0,50.0,53.1,33240.0,6.427083227000001,30660.0,1476.0,5.95,0.0275951847994977,19.23,2.3209,39.0959,9.0,3.380363133,916.0,149.02
1992-01-08,9.06999969,4.45,8.12,1,19.1118588844452,596.1437603095011,0.010082836,0.0302048744716608,1.006784782,0,1,24.8775390470302,0,418.1,415.02,420.23,417.23,23.3575419,17.9,0.94999969,0,0,0.0,27.2188204248493,0.028694762000000002,4.83,3.72,0.00619081132356094,6.8,1066.0,2.938,6.751,82.96,0.0028651809999999996,49.5,48.9,46.8,31080.0,9.242728316,39420.0,1477.0,5.95,0.0258037566241156,18.72,2.3239,38.8568,9.0,3.378944795,1073.0,131.35
1992-01-09,9.05000019,4.45,8.13,0,19.0922366945494,596.1437603095011,0.010082836,0.0302048744716608,1.028995133,1,1,24.8512451028372,0,417.61,415.85,420.5,418.07,23.3301676,17.9,0.92000019,0,0,0.0,27.1856856354344,0.028788583,4.22,3.77,0.00125834364299982,6.8,1066.0,2.917,6.782,85.32,0.0028651809999999996,49.5,48.9,46.8,47160.0,10.898729,34380.0,1484.0,5.95,0.0264764575530215,18.96,2.3208,38.6699,9.0,3.3899369139999997,1014.0,81.38
1992-01-10,9.01000023,4.45,8.17,0,18.9802708432922,596.1437603095011,0.010082836,0.0302048744716608,0.948225755,0,1,24.7047319807778,0,415.1,413.31,417.62,417.39,23.2418813,17.86,0.8400002299999989,0,0,0.0,27.0210990599327,0.028960732000000003,3.96,3.82,0.008837535644138491,7.1,1066.0,2.927,6.852,86.51,0.0028651809999999996,49.5,48.9,46.8,39720.0,10.33271385,30660.0,1490.0,5.95,0.024388497352346,18.45,2.3075,38.7435,9.0,3.414757827,669.0,122.34
1992-01-13,9.03999996,4.45,8.16,0,18.9482996412772,596.1437603095011,0.010082836,0.0302048744716608,0.891058675,0,1,24.6623534288208,0,414.34,413.54,415.36,414.64,23.19932811,17.86,0.8799999599999989,0,0,0.0,26.9705465437664,0.028849013,3.98,3.81,0.004684792055134421,7.1,1066.0,3.037,6.952000000000001,86.16,0.0028651809999999996,49.5,48.9,46.8,46860.0,7.332682935,51960.0,1494.0,5.95,0.0230392768839293,18.01,2.3032,38.5904,9.0,3.450216275,808.0,183.98
1992-01-14,9.06000042,4.45,8.18,0,19.2300794301845,596.1437603095011,0.010082836,0.0272175682919258,0.931223072,0,1,25.028291016132304,0,420.44,414.32,420.44,414.35,23.54087346,17.86,0.88000042,0,0,-0.00238984494378798,27.3664264443196,0.028436329,3.95,3.82,-0.0188982755722104,7.1,1066.0,3.122,7.028,86.67,0.0028651809999999996,49.5,48.9,46.8,30660.0,7.995647702,51840.0,1508.0,5.95,0.0195096504312772,17.01,2.3369,38.9202,9.0,3.477164695,1250.0,106.59
1992-01-15,9.07999992,4.45,8.2,0,19.192318476749698,596.1437603095011,0.010082836,0.0272175682919258,0.94218333,0,1,25.050789135496,0,420.77,418.79,421.18,420.45,23.5593505,17.86,0.879999920000001,0,0,-0.00179238370784098,27.307489732041397,0.028456639,4.04,3.84,-0.00645936713962365,7.1,1066.0,3.1289999999999996,7.056,88.18,0.0028651809999999996,49.5,48.9,46.8,37260.0,5.727612695,31380.0,1521.0,5.95,0.0210312941957287,17.39,2.3365,38.7359,9.0,3.4870930610000004,1153.0,207.03
1992-01-16,9.10999966,4.45,8.24,0,19.0783799407914,596.1437603095011,0.010082836,0.0301161210459373,0.93315124,0,1,24.901231960362395,0,418.21,415.37,420.85,420.77,23.41601344,17.86,0.86999966,0,0,0.0011239197313152199,27.1402266944204,0.02866524,3.94,3.79,-0.00796281204011598,7.1,1066.0,3.279,7.153,87.83,0.0028651809999999996,49.5,48.9,46.8,33960.0,10.93216519,30660.0,1525.0,5.95,0.0214498691314777,17.64,2.3218,38.6122,9.0,3.521487755,934.0,79.23
