,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF
1952-01-08,3.59,1.41,2.98,0,9.76229508196722,185.43568464730302,0.0,0.0,0.0,0,1,0.289887822166261,0,23.82,23.82,23.82,23.82,9.762295082,2.44,0.61,0,0,0.0
1952-01-09,3.59,1.41,2.98,0,9.72950819672132,185.43568464730302,0.0,0.0,0.0,0,1,0.28898183799693,0,23.74,23.74,23.74,23.74,9.729508197000001,2.44,0.61,0,0,0.0
1952-01-10,3.59,1.41,2.98,0,9.778688524590171,185.43568464730302,0.0,0.0,0.0,0,1,0.290510198280524,0,23.86,23.86,23.86,23.86,9.778688525,2.44,0.61,0,0,0.0
1952-01-11,3.59,1.41,2.98,0,9.827901075085501,185.43568464730302,0.0,0.0,0.0,0,1,0.292038915298653,0,23.98,23.98,23.98,23.98,9.868312757,2.43,0.61,0,0,0.0
1952-01-14,3.59,1.41,2.98,0,9.9017042474988,185.43568464730302,0.0,0.0,0.0,0,1,0.29429869081885995,0,24.16,24.16,24.16,24.16,9.942386831,2.43,0.61,0,0,0.0
1952-01-15,3.59,1.41,2.98,0,9.8607526511425,185.43568464730302,0.0,0.0,0.0,0,1,0.29314824069080697,0,24.06,24.06,24.06,24.06,9.901234568,2.43,0.61,0,0,0.0
1952-01-16,3.59,1.41,2.98,0,9.873080147393699,185.43568464730302,0.0,0.0,0.0,0,1,0.293581451044998,0,24.09,24.09,24.09,24.09,9.913580247,2.43,0.61,0,0,0.0
1952-01-17,3.59,1.41,2.98,0,9.918195120306539,185.43568464730302,0.0,0.0,0.0,0,1,0.29498971128785806,0,24.2,24.2,24.2,24.2,9.958847737000001,2.43,0.61,0,0,0.0
1952-01-18,3.59,1.41,2.98,0,9.938719715346881,185.43568464730302,0.0,0.0,0.0,0,1,0.295666914883581,0,24.25,24.25,24.25,24.25,9.979423868,2.43,0.61,0,0,0.0
1952-01-21,3.59,1.41,2.98,0,10.0248196903123,185.43568464730302,0.0,0.0,0.0,0,1,0.29829506410995005,0,24.46,24.46,24.46,24.46,10.06584362,2.43,0.61,0,0,0.0
