,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS
1954-07-01,3.5,1.81,2.89,0,11.7518731242856,186.879165094933,0.0,0.0085773414173036,0.0,0,0,0.409208039745767,1,29.21,29.21,29.21,29.21,11.19157088,2.61,0.61,1,0,0.0,20.4448190089423,0.049371545,1.13
1954-07-02,3.5,1.81,2.89,0,11.904241001954201,186.879165094933,0.0,0.0085773414173036,0.0,0,0,0.414611579059503,0,29.59,29.59,29.59,29.59,11.29389313,2.62,0.61,0,0,0.0,20.710634559284802,0.048738848,1.25
1954-07-06,3.5,1.81,2.89,0,12.036481670773302,186.879165094933,0.0,0.0085773414173036,0.0,0,0,0.41931556790705504,0,29.92,29.92,29.92,29.92,11.41984733,2.62,0.61,0,0,0.0,20.9414500247926,0.048202614000000005,0.25
1954-07-07,3.5,1.81,2.89,0,12.0440071777476,186.879165094933,0.0,0.0085773414173036,0.0,0,0,0.41967594232454797,0,29.94,29.94,29.94,29.94,11.42748092,2.62,0.61,0,0,0.0,20.955289723790198,0.04817174,1.0
1954-07-08,3.5,1.81,2.89,0,12.0434873693104,186.879165094933,0.0,0.0085773414173036,0.0,0,0,0.41975604094289004,0,29.94,29.94,29.94,29.94,11.42748092,2.62,0.61,0,0,0.0,20.955130791126898,0.048173065,1.25
1954-07-09,3.5,1.81,2.89,0,12.1234153697062,186.879165094933,0.0,0.0085773414173036,0.0,0,0,0.42264013567736997,0,30.14,30.14,30.14,30.14,11.50381679,2.62,0.61,0,0,0.0,21.0949512919642,0.04785472,1.25
1954-07-12,3.5,1.81,2.89,0,12.114848627760999,186.879165094933,0.0,0.0085773414173036,0.0,0,0,0.42243981342061204,0,30.12,30.12,30.12,30.12,11.49618321,2.62,0.61,0,0,0.0,21.0807927510258,0.047887813,1.25
1954-07-13,3.5,1.81,2.89,0,12.0696287994914,186.879165094933,0.0,0.006330313449956829,0.0,0,0,0.421117436382271,0,30.02,30.02,30.02,30.02,11.45801527,2.62,0.61,0,0,-0.00179762237387742,21.002850277370502,0.048048655,1.13
1954-07-14,3.5,1.81,2.89,0,12.097255915945802,186.879165094933,0.0,0.006330313449956829,0.0,0,0,0.422179547851437,0,30.09,30.09,30.09,30.09,11.48473282,2.62,0.61,0,0,-0.00134821678040806,21.0516695661168,0.047938195999999995,1.13
1954-07-15,3.5,1.81,2.89,0,12.1369416453736,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.423662778482859,0,30.19,30.19,30.19,30.19,11.52290076,2.62,0.61,0,0,-0.000898811186938709,21.121476341622,0.047780722000000005,0.75
1954-07-16,3.5,1.81,2.89,0,12.084164066976301,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.42191865023535796,0,30.06,30.06,30.06,30.06,11.47328244,2.62,0.61,0,0,-0.000449405593469354,21.0303707230883,0.047988678,0.75
1954-07-19,3.5,1.81,2.89,0,12.051490615580402,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.420875984508191,0,29.98,29.98,29.98,29.98,11.44274809,2.62,0.61,0,0,0.0,20.974246505870003,0.048118057,0.5
1954-07-20,3.5,1.81,2.89,0,11.9947023227615,185.384131774173,0.0,0.006330313449956829,0.0,0,0,0.418990806218051,0,29.84,29.84,29.84,29.84,11.38931298,2.62,0.61,0,0,0.0,20.8761466120865,0.048345142,0.25
