,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5
1960-01-15,5.34,0.95,4.61,0,18.393525996542,221.2649314724,0.0,0.0150739407846445,0.0,0,1,1.02006527615083,0,58.38,58.38,58.38,58.38,17.22123894,3.39,0.73,0,0,0.00067876096426831,32.9856152639219,0.031739233,4.0,4.49,-0.0175143571035617
1960-01-18,5.34,0.95,4.61,0,18.2381506755056,221.2649314724,0.0,0.0150739407846445,0.0,0,1,1.01163462484573,0,57.89,57.89,57.89,57.89,17.07669617,3.39,0.73,0,0,0.000408441258359638,32.7075241174935,0.032014054,4.0,4.37,-0.0195948383893941
1960-01-19,5.34,0.95,4.61,0,18.0418390021703,221.2649314724,0.0,0.0150739407846445,0.0,0,1,1.0009311139466501,0,57.27,57.27,57.27,57.27,16.89380531,3.39,0.73,0,0,0.0,32.3560031992689,0.032366871,4.0,4.31,-0.0074171298901362
1960-01-20,5.34,0.95,4.61,0,17.9778553935331,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.997566712967848,1,57.07,57.07,57.07,57.07,16.83480826,3.39,0.73,0,0,0.0,32.2417843322931,0.032486558,4.0,4.3,-0.0063779488963508
1960-01-21,5.34,0.95,4.61,0,18.0209785008404,221.2649314724,0.0,0.0150739407846445,0.0,0,1,1.00014496875945,2,57.21,57.21,57.21,57.21,16.87610619,3.39,0.73,0,0,0.0,32.3196461339498,0.032413302000000005,4.0,4.27,-0.0192767430937535
1960-01-22,5.34,0.86,4.61,0,18.073547106026602,221.2649314724,0.0,0.0150739407846445,0.0,0,1,1.00324871765786,3,57.38,57.38,57.38,57.38,16.92625369,3.39,0.73,0,0,0.0,32.4144444321872,0.032324187000000004,4.0,4.12,-0.0315425440071853
1960-01-25,5.34,0.86,4.61,0,17.8835894146307,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.9928899682315071,4,56.78,56.78,56.78,56.78,16.74926254,3.39,0.73,0,1,0.0,32.0742678706528,0.032672749,4.0,4.12,-0.0147476629330356
1960-01-26,5.34,0.86,4.61,0,17.9078162099247,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.994420740329537,5,56.86,56.86,56.86,56.86,16.77286136,3.39,0.73,1,0,0.0,32.118220878213805,0.032633758,4.0,4.04,-0.0008948591623940859
1960-01-27,5.34,0.86,4.61,0,17.8627568396929,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.992104151759463,4,56.72,56.72,56.72,56.72,16.73156342,3.39,0.73,1,0,0.0,32.0379002418366,0.032721303,3.75,3.99,-0.00725677193377603
1960-01-28,5.34,0.86,4.61,0,17.6759928607556,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.9819161875757441,3,56.13,56.13,56.13,56.13,16.55752212,3.39,0.73,1,0,0.0,31.703411557901603,0.033072317000000004,4.0,3.92,0.0023209977452097897
1960-01-29,5.34,0.86,4.61,0,17.5112924659201,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.9729521010854721,2,55.61,55.61,55.61,55.61,16.40412979,3.39,0.73,1,0,0.0,31.4084795797466,0.03338942,4.0,3.99,0.00647451337923953
1960-02-01,5.34,0.86,4.56,0,17.6205541894158,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.97920830700944,1,55.96,55.96,55.96,55.96,16.50737463,3.39,0.78,1,0,0.0,31.60492143802,0.033188387,4.0,4.0,-0.0116484911930758
1960-02-02,5.34,0.86,4.56,0,17.8903838276317,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.994389524202855,0,56.82,56.82,56.82,56.82,16.76106195,3.39,0.78,0,0,0.0,32.089367581006606,0.032693746,4.0,3.96,-0.0175311401475407
1960-02-03,5.34,0.86,4.56,0,17.7319976946772,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.9857718211851859,0,56.32,56.32,56.32,56.32,16.61356932,3.39,0.78,0,0,0.0,31.805734029588297,0.032991747,4.0,4.0,-0.014966285480903
1960-02-04,5.34,0.86,4.56,0,17.7153014314877,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.9850293306788052,0,56.27,56.27,56.27,56.27,16.59882006,3.39,0.78,0,0,0.0,31.7762372040439,0.03302882,4.0,3.95,-0.0196643588116529
1960-02-05,5.34,0.86,4.56,0,17.623053373658102,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.9800854424455551,0,55.98,55.98,55.98,55.98,16.51327434,3.39,0.78,0,0,0.0,31.611213004924103,0.033207012,4.0,3.8,-0.00942961163074347
1960-02-08,5.34,0.86,4.56,0,17.4143426281247,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.968663004752163,0,55.32,55.32,55.32,55.32,16.31858407,3.39,0.78,0,1,0.0,31.2372712337958,0.033610364,4.0,3.55,-0.00280739684224819
1960-02-09,5.34,0.86,4.56,0,17.5770907187831,221.2649314724,0.0,0.0150739407846445,0.0,0,1,0.9779010131836321,0,55.84,55.84,55.84,55.84,16.4719764,3.39,0.78,0,0,0.0,31.529632850617,0.03330448,3.75,3.58,-0.0201648670733296
1960-02-10,5.34,0.86,4.56,0,17.4659816836504,221.2649314724,0.0,0.0136941544325908,0.0,0,1,0.971904353502062,0,55.49,55.49,55.49,55.49,16.36873156,3.39,0.78,0,0,-0.00110382908164297,31.330747201509997,0.033521697,4.0,3.7,-0.00840998606718045
1960-02-11,5.34,0.86,4.56,0,17.367475007629302,221.2649314724,0.0,0.0136941544325908,0.0,0,1,0.9666074733231351,0,55.18,55.18,55.18,55.18,16.27728614,3.39,0.78,0,0,-0.000827871811232228,31.1544568559,0.033717212999999996,4.0,3.85,0.0110849752626169
1960-02-12,5.34,0.86,4.56,0,17.478419375875,221.2649314724,0.0,0.0123331470772161,0.0,0,1,0.9716451020001009,0,55.46,55.46,55.46,55.46,16.35988201,3.39,0.78,0,0,-0.00164072042512125,31.3538834262925,0.033553425,4.0,3.85,0.0138839495660038
1960-02-15,5.34,0.86,4.56,0,17.3860738690106,221.2649314724,0.0,0.0123331470772161,0.0,0,1,0.966697164331986,0,55.17,55.17,55.17,55.17,16.27433628,3.39,0.78,0,0,-0.00109256168363556,31.188630924635802,0.033736271,4.0,3.96,0.0137941301938166
1960-02-16,5.34,0.86,4.56,0,17.246471346424002,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9591202227976251,0,54.73,54.73,54.73,54.73,16.14454277,3.39,0.78,0,0,-0.00054440294214988,30.9385940115206,0.034014019,4.0,4.04,0.0182325213708787
1960-02-17,5.34,0.86,4.56,0,17.3400602710094,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.964510422836701,1,55.03,55.03,55.03,55.03,16.23303835,3.39,0.78,0,0,-0.000272201471074939,31.106874825601302,0.033835079,4.0,4.07,0.0161788769852824
1960-02-18,5.34,0.86,4.56,0,17.581729574591698,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.978139050696228,2,55.8,55.8,55.8,55.8,16.46017699,3.39,0.78,0,0,0.0,31.5408037619092,0.033374579,4.0,4.04,0.006391005993046921
1960-02-19,5.34,0.86,4.56,0,17.7194009865284,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.985985532214255,3,56.24,56.24,56.24,56.24,16.5899705,3.39,0.78,0,0,0.0,31.7881677061512,0.033120525,4.0,4.08,-0.00217749878456011
1960-02-23,5.34,0.86,4.56,0,17.6239208542689,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9808595843064709,4,55.94,55.94,55.94,55.94,16.50147493,3.39,0.78,0,0,0.0,31.6172584476954,0.033305241,3.75,4.06,0.00119319937336345
1960-02-24,5.34,0.86,4.56,0,17.5599552131773,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9774863497058479,5,55.74,55.74,55.74,55.74,16.44247788,3.39,0.78,1,0,0.0,31.502876664704104,0.033431862,3.5,4.13,-0.00222982073999954
1960-02-25,5.34,0.86,4.56,0,17.6188535952827,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9809519017171949,4,55.93,55.93,55.93,55.93,16.49852507,3.39,0.78,1,0,0.0,31.6089090478443,0.033325386,4.0,4.17,-0.0208616637701127
1960-02-26,5.34,0.87,4.56,0,17.6903463040296,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.985119484641998,3,56.16,56.16,56.16,56.16,16.56637168,3.39,0.78,1,0,0.0,31.7375328429345,0.03319597,4.0,4.19,-0.0288089741194892
1960-02-29,5.34,0.87,4.56,0,17.676786892118198,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9845514797912129,2,56.12,56.12,56.12,56.12,16.55457227,3.39,0.78,1,1,0.0,31.713563256768197,0.033226701000000004,4.0,4.19,-0.0382291693086946
1960-03-01,5.25,0.87,4.49,0,17.6411821782127,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9827553409373249,1,56.01,56.01,56.01,56.01,16.52212389,3.39,0.76,1,0,0.0,31.650035657836998,0.033299041,4.0,4.09,-0.0464973720088661
1960-03-02,5.25,0.87,4.49,0,17.5173967050347,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9760460582359709,0,55.62,55.62,55.62,55.62,16.40707965,3.39,0.76,0,0,0.0,31.428293896231104,0.033539664,4.0,3.98,-0.0289049031167225
1960-03-03,5.25,0.87,4.49,0,17.251906560736302,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9614390454982621,0,54.78,54.78,54.78,54.78,16.15929204,3.39,0.76,0,0,0.0,30.952303650692603,0.034061207999999996,4.0,3.7,-0.0175814193802032
1960-03-04,5.25,0.87,4.49,0,17.1848415370992,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.957887769709734,0,54.57,54.57,54.57,54.57,16.09734513,3.39,0.76,0,0,0.0,30.832303287303,0.034199556,4.0,3.64,-0.00615768739398996
1960-03-07,5.25,0.87,4.49,0,17.010719631383,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9483678488349621,0,54.02,54.02,54.02,54.02,15.93510324,3.39,0.76,0,0,0.0,30.520215772937302,0.034555102000000004,3.75,3.54,0.00544111093794393
1960-03-08,5.25,0.87,4.49,0,16.8366172727005,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.9388465785390809,0,53.47,53.47,53.47,53.47,15.77286136,3.39,0.76,0,0,0.0,30.208151196946996,0.034917962000000004,4.0,3.56,0.0233724638476204
1960-03-09,5.25,0.87,4.49,0,17.015180666153,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.94898932989115,0,54.04,54.04,54.04,54.04,15.94100295,3.39,0.76,0,0,0.0,30.5288315927457,0.034557,4.0,3.64,0.0182373356931964
1960-03-10,5.25,0.87,4.49,0,16.9481458628701,227.77272357453,0.0,0.0123331470772161,0.0,0,1,0.945436042467407,0,53.83,53.83,53.83,53.83,15.87905605,3.39,0.76,0,0,0.0,30.408853163044895,0.034699184,4.0,3.66,0.0206913885236233
1960-03-11,5.25,0.87,4.49,0,17.076312855766,227.77272357453,0.0,0.0126779152240548,0.0,0,1,0.9527715359351991,0,54.24,54.24,54.24,54.24,16.0,3.39,0.76,0,0,0.000275814517470963,30.6391067469036,0.034444208999999996,4.0,3.59,0.0140327647024053
1960-03-14,5.25,0.87,4.49,0,17.0773405266493,227.77272357453,0.0,0.0140389225794295,0.0,0,1,0.9543113360333829,0,54.32,54.32,54.32,54.32,16.02359882,3.39,0.76,0,0,0.0012956667724029801,30.6412371747894,0.034400787,4.0,3.44,0.0136726755592671
