,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR
1960-03-15,5.25,0.87,4.49,0,17.2084764902057,227.77272357453,0.0,0.0140389225794295,0.0,0,1,0.9618245826850059,0,54.74,54.74,54.74,54.74,16.14749263,3.39,0.76,0,0,0.000954511671960302,30.876812507807998,0.034144091,4.0,3.46,0.00997699607512142,4.8
1960-03-16,5.25,0.87,4.49,0,17.301877270783802,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9672303869799119,0,55.04,55.04,55.04,55.04,16.235988199999998,3.39,0.76,0,0,0.00061335657151762,31.044678265040805,0.033965196,3.75,3.43,0.0126294296211169,4.8
1960-03-17,5.25,0.87,4.49,0,17.275821870216998,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.965959116703317,0,54.96,54.96,54.96,54.96,16.21238938,3.39,0.76,0,0,0.000272201471074939,30.998199637312197,0.034021856,4.0,3.44,0.0183801387689597,4.8
1960-03-18,5.25,0.87,4.49,0,17.2906312663785,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9669732052021229,0,55.01,55.01,55.01,55.01,16.22713864,3.39,0.76,0,0,0.0,31.0250386397144,0.033998868,4.0,3.3,0.0174702900882861,4.8
1960-03-21,5.25,0.87,4.49,0,17.308582849725,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9681632169361819,0,55.07,55.07,55.07,55.07,16.24483776,3.39,0.76,0,1,0.0,31.0575099034122,0.033969752,4.0,3.05,0.0142361068326176,4.8
1960-03-22,5.25,0.87,4.49,0,17.3768188810892,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9721662903735079,1,55.29,55.29,55.29,55.29,16.30973451,3.39,0.76,0,0,0.0,31.1802035670607,0.03384248,3.25,2.9,0.00881858318386955,4.8
1960-03-23,5.25,0.87,4.49,0,17.5173302668691,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.98021402025223,2,55.74,55.74,55.74,55.74,16.44247788,3.39,0.76,0,0,0.0,31.4325816089815,0.033577094,1.5,2.77,-0.0014327579793427699,4.8
1960-03-24,5.25,0.87,4.49,0,17.5918347353183,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9845699125399108,3,55.98,55.98,55.98,55.98,16.51327434,3.39,0.76,0,0,0.0,31.5665159827488,0.03344023,3.75,2.82,-0.0114849818230132,4.8
1960-03-25,5.25,1.0,4.49,0,17.5909155783037,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.984705311259269,4,55.98,55.98,55.98,55.98,16.51327434,3.39,0.76,0,0,0.0,31.5651065292841,0.033447318999999996,4.0,2.68,-0.00984750334018091,4.8
1960-03-28,5.25,1.0,4.49,0,17.5522909347471,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.982729890945037,5,55.86,55.86,55.86,55.86,16.47787611,3.39,0.76,1,0,0.0,31.4960320307768,0.033526275,4.0,2.78,-0.005703275707127571,4.8
1960-03-29,5.25,1.0,4.49,0,17.526239172151598,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9814579101282221,4,55.78,55.78,55.78,55.78,16.45427729,3.39,0.76,1,0,0.0,31.449511756893102,0.033581473,3.25,2.83,0.0016752976472989801,4.8
1960-03-30,5.25,1.0,4.49,0,17.4876233953321,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9794819456327378,3,55.66,55.66,55.66,55.66,16.41887906,3.39,0.76,1,0,0.0,31.380439652194198,0.033661002,3.75,2.92,0.0152422981885877,4.8
1960-03-31,5.25,1.0,4.49,0,17.3861783326626,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9739861883917191,2,55.34,55.34,55.34,55.34,16.32448378,3.39,0.76,1,0,0.0,31.1986167990516,0.033862815,4.0,3.02,0.0212059776938123,4.8
1960-04-01,5.2,1.0,4.45,0,17.4135476306375,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9757056845784878,1,55.43,55.43,55.43,55.43,16.35103245,3.39,0.75,1,0,0.0,31.247938100061898,0.033814992,4.0,2.84,0.0172997936605278,4.8
1960-04-04,5.2,1.0,4.45,0,17.4471975570534,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.977777469785748,0,55.54,55.54,55.54,55.54,16.38348083,3.39,0.75,0,0,0.0,31.3085246872419,0.033755165,3.75,2.72,0.0114171000561189,4.8
1960-04-05,5.2,1.0,4.45,0,17.5499513758876,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9837226244789209,0,55.87,55.87,55.87,55.87,16.48082596,3.39,0.75,0,0,0.0,31.493112113103,0.03356289,3.75,2.8,0.0078063942148311,4.8
1960-04-06,5.2,1.0,4.45,0,17.7500677733233,223.705353510699,0.0,0.0140389225794295,0.0,0,1,0.9951268778881529,0,56.51,56.51,56.51,56.51,16.66961652,3.39,0.75,0,0,0.0,31.852412703839196,0.033189798,4.0,2.92,-0.0035889364905770603,4.8
1960-04-07,5.2,1.0,4.45,0,17.7522883220767,223.705353510699,0.0,0.0150739407846445,0.0,0,1,0.9954385419330309,0,56.52,56.52,56.52,56.52,16.67256637,3.39,0.75,0,0,0.000828014564172008,31.8565870467871,0.033190245,4.0,3.05,-0.00146697803407412,4.8
1960-04-08,5.2,1.0,4.45,0,17.7105837486318,223.705353510699,0.0,0.0150739407846445,0.0,0,1,0.993284548843716,0,56.39,56.39,56.39,56.39,16.68343195,3.38,0.75,0,0,0.000621010923129005,31.7818519340314,0.033273093999999996,4.0,3.3,0.0036604405303936,4.8
1960-04-11,5.2,1.0,4.45,0,17.640618793765398,223.705353510699,0.0,0.0150739407846445,0.0,0,1,0.9895449521721421,0,56.17,56.17,56.17,56.17,16.6183432,3.38,0.75,0,1,0.000414007282086005,31.6563973866649,0.033409773,4.0,3.55,-0.000589976940996329,4.8
1960-04-12,5.2,1.0,4.45,0,17.6805761946405,223.705353510699,0.0,0.0150739407846445,0.0,0,1,0.9919707792219609,0,56.3,56.3,56.3,56.3,16.65680473,3.38,0.75,0,0,0.000207003641043002,31.7281950556769,0.033338971,4.0,3.6,-0.0152674990794867,5.4
1960-04-13,5.2,1.0,4.45,0,17.679706881245398,223.705353510699,0.0,0.0150739407846445,0.0,0,1,0.9921064205481399,0,56.3,56.3,56.3,56.3,16.65680473,3.38,0.75,0,0,0.0,31.726723274342298,0.033345315,3.75,3.57,-0.0125637790728818,5.4
1960-04-14,5.2,1.0,4.45,0,17.719704336167702,223.705353510699,0.0,0.0150739407846445,0.0,0,1,0.9945329115693771,0,56.43,56.43,56.43,56.43,16.74480712,3.37,0.75,0,0,0.0,31.7985031555447,0.033274825,4.0,3.52,-0.0179316343982015,5.4
