,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS
1960-07-21,5.22,1.07,4.41,0,17.1544360986598,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.980058058139817,2,55.1,55.1,55.1,55.1,16.90184049,3.26,0.81,0,0,0.0,30.742352755536498,0.034470515,3.5,2.34,-0.00943389037302638,5.5,1334.0
1960-07-22,5.22,1.01,4.41,0,17.03592596321,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.973435967645889,3,54.72,54.72,54.72,54.72,16.78527607,3.26,0.81,0,0,0.0,30.528874029242395,0.034715695,3.5,2.35,0.0145665552521847,5.5,1334.0
1960-07-25,5.22,1.01,4.41,0,16.8676067693347,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.9639666421547859,4,54.18,54.18,54.18,54.18,16.6196319,3.26,0.81,0,1,0.0,30.2261511926401,0.035067558,3.5,2.31,0.0248496835545444,5.5,1334.0
1960-07-26,5.22,1.01,4.41,0,16.9701415668643,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.969974948428106,5,54.51,54.51,54.51,54.51,16.7208589,3.26,0.81,1,0,0.0,30.408789996983,0.034861085,3.0,2.23,0.00991819588323855,5.5,1334.0
1960-07-27,5.22,1.01,4.41,0,16.8640910812491,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.964061826719259,4,54.17,54.17,54.17,54.17,16.61656442,3.26,0.81,1,0,0.0,30.2176618403828,0.035085753,1.5,2.23,0.010347419758524,5.5,1334.0
1960-07-28,5.22,1.01,4.41,0,16.988415791762304,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.9713176229194659,3,54.57,54.57,54.57,54.57,16.7392638,3.26,0.81,1,0,0.0,30.439323419896397,0.034834391,3.25,2.23,0.00609263805670829,5.5,1334.0
1960-07-29,5.22,1.01,4.41,0,17.2808453675669,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.988186161070586,2,55.51,55.51,55.51,55.51,17.02760736,3.26,0.81,1,0,0.0,30.9621596013164,0.034250228,3.25,2.19,-0.00101746845550472,5.5,1334.0
1960-08-01,5.08,1.01,4.28,0,17.2868659023906,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.988679246885394,1,55.53,55.53,55.53,55.53,17.03374233,3.26,0.8,1,0,0.0,30.971812668987198,0.034243609,3.5,2.1,6.234707181972121e-05,5.5,1334.0
1960-08-02,5.08,1.01,4.28,0,17.1341218844025,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.9800921492305291,0,55.04,55.04,55.04,55.04,16.88343558,3.26,0.8,0,0,0.0,30.6970233522894,0.034554235,3.25,2.12,0.0146726469463723,5.5,1334.0
1960-08-03,5.08,1.01,4.28,0,17.0343025555954,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.974531023754304,0,54.72,54.72,54.72,54.72,16.78527607,3.26,0.8,0,0,0.0,30.517065758253196,0.034762108,3.25,2.17,0.0246149014130335,5.5,1334.0
1960-08-04,5.08,1.01,4.28,0,17.087020649159502,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.9776957278845151,0,54.89,54.89,54.89,54.89,16.83742331,3.26,0.8,0,0,0.0,30.6103797507686,0.034660229,3.5,2.15,0.0252521183275125,5.5,1334.0
1960-08-05,5.08,1.01,4.28,0,17.2580286150157,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.9876294016560649,0,55.44,55.44,55.44,55.44,17.00613497,3.26,0.8,0,0,0.0,30.915584844155198,0.034322104,3.5,2.13,0.0220144255411803,5.5,1334.0
1960-08-08,5.08,1.01,4.28,0,17.2827271828028,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.989191694481688,0,55.52,55.52,55.52,55.52,17.03067485,3.26,0.8,0,0,0.0,30.9586787318375,0.034278367000000004,3.5,2.18,0.0196951026404552,5.5,1334.0
1960-08-09,5.08,1.01,4.28,0,17.3821336401086,221.671668478783,0.0,0.017030384355968,0.0,0,0,0.9950302489100391,0,55.84,55.84,55.84,55.84,17.12883436,3.26,0.8,0,0,0.0,31.135585790738002,0.034087614,2.5,2.16,0.0158913287339105,5.5,1334.0
1960-08-10,5.08,1.01,4.28,0,17.453522624010102,221.671668478783,0.0,0.0156572293169988,0.0,0,0,0.9992658720644221,0,56.07,56.07,56.07,56.07,17.1993865,3.26,0.8,0,0,-0.00109852403117543,31.262292026989602,0.033953448,1.75,2.19,0.0138947665837465,5.4,1334.0
1960-08-11,5.08,1.01,4.28,0,17.5186845393768,221.671668478783,0.0,0.0156572293169988,0.0,0,0,1.0031456399268899,0,56.28,56.28,56.28,56.28,17.26380368,3.26,0.8,0,0,-0.000823893023381574,31.3778319690139,0.033832397,3.5,2.24,0.00963033807527167,5.4,1334.0
1960-08-12,5.08,1.01,4.28,0,17.6725431440692,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01005605022249,0,56.66,56.66,56.66,56.66,17.380368100000002,3.26,0.8,0,0,-0.00217198062470203,31.652216602267,0.033611097,3.0,2.15,0.0064168986298765605,5.4,1334.0
1960-08-15,5.08,1.01,4.28,0,17.656710432483,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.00930195647141,0,56.61,56.61,56.61,56.61,17.36503067,3.26,0.8,0,1,-0.0014916699646295901,31.6226647201374,0.033646391,3.0,2.2,0.0104476247652721,5.4,1334.0
1960-08-16,5.08,1.01,4.28,0,17.690781811312803,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01140040675525,0,56.72,56.72,56.72,56.72,17.39877301,3.26,0.8,0,0,-0.000811359304557158,31.6824849917499,0.033586736,3.0,2.22,0.0182467071060536,5.4,1334.0
1960-08-17,5.08,1.01,4.28,0,17.727971390329603,221.671668478783,0.0,0.0136288310556059,0.0,0,0,1.01367745597861,0,56.84,56.84,56.84,56.84,17.43558282,3.26,0.8,0,0,-0.000405679652278579,31.747881404820003,0.033521414,3.0,2.33,0.0216554705177802,5.4,1334.0
