,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR
1962-01-02,5.08,0.83,4.42,0,21.970175915595302,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.32054990751533,1,70.96,70.96,70.96,70.96,22.24451411,3.19,0.66,1,0,0.0,38.379009624198396,0.027763238,2.75,2.7,-0.0257671125756102,6.1,1350.0,1.36,4.06
1962-01-03,5.08,0.83,4.42,0,22.023027500584803,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.32386495816671,0,71.13,71.13,71.13,71.13,22.29780564,3.19,0.66,0,0,0.0,38.468931663346794,0.027702462999999997,2.5,2.73,-0.0309081830889177,6.1,1350.0,1.3,4.03
1962-01-04,5.08,0.83,4.42,0,21.871530995339604,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.31489653033236,0,70.64,70.64,70.64,70.64,22.14420063,3.19,0.66,0,0,0.0,38.201913105604206,0.027900241,2.75,2.72,-0.0180678911192455,6.1,1350.0,1.27,3.99
1962-01-05,5.08,0.83,4.42,0,21.568262791989497,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.2968061861645301,0,69.66,69.66,69.66,69.66,21.76875,3.2,0.66,0,0,0.0,37.6699411692142,0.028298447,2.5,2.74,-0.000645529694687364,6.1,1350.0,1.2819999999999998,4.022
1962-01-08,5.08,0.83,4.42,0,21.4012246382725,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.28690486452487,0,69.12,69.12,69.12,69.12,21.6,3.2,0.66,0,1,0.0,37.375946229770705,0.02852527,2.0,2.78,0.00512065468633031,6.1,1350.0,1.252,4.032
1962-01-09,5.08,0.83,4.42,0,21.4106709906837,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.28761487734911,0,69.15,69.15,69.15,69.15,21.609375,3.2,0.66,0,0,0.0,37.390183053951,0.028518632999999998,1.25,2.78,-0.00109095720356831,6.1,1350.0,1.272,4.052
1962-01-10,5.11,0.83,4.43,0,21.3519990296565,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.28422843888456,0,68.96,68.96,68.96,68.96,21.55,3.2,0.680000000000001,0,0,0.0,37.2854633900905,0.028602963,0.5,2.81,-0.00925925144831325,6.1,1350.0,1.262,4.072
1962-01-11,5.11,0.83,4.43,0,21.4791046993796,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.2920152835460201,0,69.37,69.37,69.37,69.37,21.678125,3.2,0.680000000000001,0,0,0.0,37.5051422517307,0.02843963,2.75,2.78,-0.0141631154324153,6.1,1350.0,1.3019999999999998,4.082
1962-01-12,5.11,0.83,4.43,0,21.5534676698211,232.043462141552,0.0,0.00669346541858884,0.0,0,1,1.29663753146862,0,69.61,69.61,69.61,69.61,21.61801242,3.22,0.680000000000001,0,0,0.0,37.632885963159204,0.028347847000000002,2.75,2.76,-0.0123683531230765,6.1,1350.0,1.3219999999999998,4.082
1962-01-15,5.11,0.83,4.43,0,21.4886847309333,232.043462141552,0.0,0.00668675176229572,0.0,0,1,1.29418199831212,0,69.47,69.47,69.47,69.47,21.57453416,3.22,0.680000000000001,0,0,-5.37092503449799e-06,37.5176734693975,0.028411258999999998,3.0,2.74,-0.00948589805872948,6.1,1350.0,1.3619999999999999,4.102
