,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY
1967-01-31,5.92,1.66,5.16,0,19.7760969637792,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.89575588585361,2,86.61,86.61,86.61,86.61,15.74727273,5.5,0.76,1,0,0.0,36.470042951584894,0.033469228,4.0,4.51,0.0036776733182219,3.8,1102.0,0.0120000000000005,4.522,119.89
1967-02-01,5.83,1.66,5.05,0,19.7309582415799,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.8920713342774098,1,86.43,86.43,86.43,86.43,15.71454545,5.5,0.78,1,0,0.0,36.387820142124205,0.033543982,4.0,4.5,0.0145728164146423,3.8,1102.0,0.0220000000000002,4.522,
1967-02-02,5.83,1.66,5.05,0,19.795397197176303,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.89889414730495,0,86.73,86.73,86.73,86.73,15.76909091,5.5,0.78,0,0,0.0,36.507674865330294,0.033432986,4.5,4.47,0.00699745896420432,3.8,1102.0,0.0419999999999998,4.512,
1967-02-03,5.83,1.66,5.05,0,19.9351174176804,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.9129430009283501,0,87.36,87.36,87.36,87.36,15.88363636,5.5,0.78,0,0,0.0,36.7663710131211,0.033196879,4.75,4.46,0.0012511329688312698,3.8,1102.0,0.0620000000000003,4.522,
1967-02-06,5.83,1.66,5.05,0,19.889983600615803,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.90925696442269,0,87.18,87.18,87.18,87.18,15.85090909,5.5,0.78,0,1,0.0,36.684138810415604,0.033270427000000005,5.25,4.53,0.00434769737071011,3.8,1102.0,0.00199999999999978,4.532,
1967-02-07,5.83,1.66,5.05,0,19.8334663356384,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.90447542808709,0,86.95,86.95,86.95,86.95,15.80909091,5.5,0.78,0,0,0.0,36.5808998329992,0.033363454,5.5,4.55,0.013708482770492,3.8,1102.0,-0.008000000000000009,4.542,
1967-02-08,5.81,1.66,5.02,0,20.0050308549977,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.92159635904527,0,87.72,87.72,87.72,87.72,15.94909091,5.5,0.79,0,0,0.0,36.898334737138704,0.033075569,5.0,4.53,0.00603208924303484,3.8,1102.0,0.0119999999999996,4.542,
1967-02-09,5.81,1.66,5.02,0,19.9188784824781,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.9139657596188602,0,87.36,87.36,87.36,87.36,15.88363636,5.5,0.79,0,0,0.0,36.740420732947506,0.033216866,5.0,4.52,0.00549453360222861,3.7,1102.0,0.0120000000000005,4.532,
1967-02-10,5.81,1.66,5.02,0,19.9444661530749,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.91706952784771,0,87.49,87.49,87.49,87.49,15.90727273,5.5,0.79,0,0,0.0,36.788601961736205,0.033172497999999995,5.25,4.56,0.00435326628402178,3.7,1102.0,0.032,4.592,
1967-02-13,5.81,1.66,5.02,0,19.9609300113211,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.9192972345539299,0,87.58,87.58,87.58,87.58,15.92363636,5.5,0.79,0,0,0.0,36.8199498717491,0.03314294,5.25,4.56,-0.0022661289962307603,3.7,1102.0,,,
1967-02-14,5.81,1.66,5.02,0,20.0913255873606,320.451413039638,0.0,0.0330429937906969,0.0,0,1,1.93248263244644,0,88.17,88.17,88.17,88.17,16.03090909,5.5,0.79,0,0,0.0,37.0614574577552,0.032925661,5.0,4.6,-0.0096672321024388,3.7,1102.0,0.0420000000000007,4.6419999999999995,
1967-02-15,5.82,1.66,5.0,0,20.1100377342508,320.451413039638,0.0,0.032101521886855,0.0,0,1,1.93493010832295,0,88.27,88.27,88.27,88.27,16.04909091,5.5,0.82,0,0,-0.000753177523073488,37.096949432673796,0.032892856,5.25,4.62,-0.0095420088453221,3.7,1243.0,0.0720000000000001,4.692,
1967-02-16,5.82,1.66,5.0,0,20.0247322624212,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.92619840899829,1,87.86,87.86,87.86,87.86,15.97454545,5.5,0.82,0,0,-0.0010510575723397,36.940551611744105,0.033050867000000005,5.25,4.61,-0.00534507302762665,3.7,1243.0,0.0619999999999994,4.672,
1967-02-17,5.82,1.66,5.0,0,20.027507533556303,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9271118869359198,2,87.89,87.89,87.89,87.89,15.98,5.5,0.82,0,0,-0.0007412195840626809,36.9466303978833,0.033044101,5.25,4.62,-0.0166158811695886,3.7,1243.0,0.0620000000000003,4.6819999999999995,
1967-02-20,5.82,1.66,5.0,0,19.9118164550408,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9166237554393202,3,87.4,87.4,87.4,87.4,15.89090909,5.5,0.82,0,0,-0.000431381595785665,36.734151736870295,0.0332339,5.25,4.6,-0.00733101486932704,3.7,1243.0,0.102,4.702,
1967-02-21,5.82,1.66,5.0,0,19.8941199378087,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9155638382683,4,87.34,87.34,87.34,87.34,15.88,5.5,0.82,0,0,-0.000121543607508642,36.702445205282395,0.033261274,5.0,4.62,0.00367094699511236,3.7,1243.0,0.0919999999999996,4.712,
1967-02-23,5.82,1.66,5.01,0,19.915148210098398,318.836030995329,0.0,0.0314938038493118,0.0,0,1,1.9182322635460298,5,87.45,87.45,87.45,87.45,15.9,5.5,0.81,1,0,0.0,36.742175786747104,0.033223973999999996,5.25,4.64,0.00786732542009612,3.7,1243.0,0.102,4.742,
