,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS
1968-03-26,6.81,1.97,6.08,0,18.7729185328162,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.01901696867448,5,88.93,88.93,88.93,88.93,16.11050725,5.52,0.73,1,0,0.0,34.5184683073964,0.033127982,5.0,5.1,0.0404942099073522,3.7,1566.0,0.682,5.782,,-0.025099199
1968-03-27,6.87,1.97,6.14,0,18.9245178922139,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.035859859819,4,89.66,89.66,89.66,89.66,16.24275362,5.52,0.73,1,0,0.0,34.7978224872872,0.032860471,5.38,5.13,0.0412327586562943,3.7,1566.0,0.652,5.782,,-0.025099199
1968-03-28,6.87,1.97,6.14,0,18.9030248193345,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.0340856927468898,3,89.57,89.57,89.57,89.57,16.22644928,5.52,0.73,1,0,0.0,34.7589009994612,0.032895705,5.75,5.15,0.0461892369895204,3.7,1566.0,0.632,5.782,,-0.025099199
1968-03-29,6.87,1.97,6.14,0,19.0334695512733,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.04866209836449,2,90.2,90.2,90.2,90.2,16.34057971,5.52,0.73,1,0,0.0,34.9993635773678,0.032668145,5.25,5.17,0.0333043965562648,3.7,1566.0,0.5920000000000001,5.7620000000000005,122.001,-0.025099199
1968-04-01,6.87,1.97,6.14,0,19.5120092146403,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.1007159465613703,1,92.48,92.48,92.48,92.48,16.75362319,5.52,0.73,1,1,0.0,35.879930824945895,0.031864891,5.5,5.13,0.0259797473442887,3.7,1566.0,0.512,5.642,,-0.025099199
1968-04-02,6.87,1.97,6.14,0,19.5431928781674,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.1046199221911,0,92.64,92.64,92.64,92.64,16.7826087,5.52,0.73,0,0,0.0,35.93788440806821,0.031811998,5.75,5.19,0.0318093363750321,3.7,1566.0,0.43199999999999894,5.622000000000001,,-0.025099199
1968-04-03,6.93,1.97,6.17,0,19.7156939705109,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.12374563455109,0,93.47,93.47,93.47,93.47,16.93297101,5.52,0.76,0,0,0.0,36.25570944064229,0.031531635,5.88,5.19,0.0318397728596912,3.7,1566.0,0.302,5.492000000000001,,-0.025099199
1968-04-04,6.93,1.97,6.17,0,19.7911363937375,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.1324220471498303,0,93.84,93.84,93.84,93.84,17.0,5.52,0.76,0,0,0.0,36.3950555696855,0.031409424,5.88,5.27,0.0285106458159997,3.7,1566.0,0.252000000000001,5.522,,-0.025099199
1968-04-05,6.93,1.97,6.17,0,19.6725558074458,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.12019345784677,0,93.29,93.29,93.29,93.29,16.90036232,5.52,0.76,0,0,0.0,36.177597470782,0.031596728,5.75,5.24,0.0346958440164476,3.7,1566.0,0.282,5.522,,-0.025099199
1968-04-08,6.93,1.97,6.17,0,20.0199816611902,325.701404683639,0.0,0.0357180826020795,0.0,0,1,2.1581897860360604,0,94.95,94.95,94.95,94.95,17.20108696,5.52,0.76,0,0,0.0,36.8171238581286,0.031046416,5.5,5.26,0.0190212169672148,3.7,1566.0,0.282,5.542000000000001,,-0.025099199
