,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI
1975-07-08,10.35,1.51,8.75,0,11.619042412590801,349.26312335066706,0.0,0.0885533973414452,0.0,0,0,2.7192776293702696,0,93.39,93.39,93.39,93.39,11.03900709,8.46,1.6,0,0,0.0,23.4218934902913,0.039495154,5.76,6.06,0.023143396127465,8.6,1126.0,1.882,7.942,97.03,-0.07023972099999999,54.9,44.0,45.1
1975-07-09,10.35,1.51,8.75,0,11.793970675340299,349.26312335066706,0.0,0.0885533973414452,0.0,0,0,2.7607630481924397,0,94.8,94.8,94.8,94.8,11.20567376,8.46,1.6,0,0,0.0,23.7769404291703,0.038911912,5.4,6.1,-0.00236578474840681,8.6,1126.0,1.922,8.022,96.91,-0.07023972099999999,54.9,44.0,45.1
1975-07-10,10.37,1.51,8.82,0,11.794719387664498,349.26312335066706,0.0,0.0885533973414452,0.0,0,0,2.7614841624509,0,94.81,94.81,94.81,94.81,11.20685579,8.46,1.55,0,0,0.0,23.7808695809024,0.038911993,5.89,6.04,-0.0128891287016194,8.6,1126.0,1.982,8.022,97.46,-0.07023972099999999,54.9,44.0,45.1
1975-07-11,10.37,1.51,8.82,0,11.775564668902,349.26312335066706,0.0,0.0885533973414452,0.0,0,0,2.75754514844112,0,94.66,94.66,94.66,94.66,11.1891253,8.46,1.55,0,0,0.0,23.7446617117443,0.038977426,5.84,6.02,-0.0159064448924953,8.6,1126.0,1.972,7.992000000000001,97.74,-0.07023972099999999,54.9,44.0,45.1
1975-07-14,10.37,1.51,8.82,0,11.840999404705698,349.26312335066706,0.0,0.0885533973414452,0.0,0,0,2.7734146358111,0,95.19,95.19,95.19,95.19,11.25177305,8.46,1.55,0,1,0.0,23.879029104555602,0.038764159,5.92,6.03,-0.0296836288211154,8.6,1126.0,1.962,7.992000000000001,97.99,-0.07023972099999999,54.9,44.0,45.1
1975-07-15,10.37,1.51,8.82,0,11.8927463619216,351.821827551038,0.0,0.0885533973414452,0.0,0,0,2.78608166991794,0,95.61,95.61,95.61,95.61,11.30141844,8.46,1.55,0,0,0.0,23.985813777139896,0.03859761,5.92,6.05,-0.0448540296444806,8.6,1126.0,1.932,7.982,98.23,-0.07023972099999999,54.9,44.0,45.1
1975-07-16,10.35,1.51,8.84,0,11.7678656734586,351.821827551038,0.0,0.0803566301372669,0.0,0,0,2.75737176754961,0,94.61,94.61,94.61,94.61,11.18321513,8.46,1.51,0,0,-0.006557413763342621,23.7363497670921,0.03900935,6.27,6.07,-0.0483198230532525,8.6,1126.0,1.962,8.032,98.6,-0.07023972099999999,54.9,44.0,45.1
1975-07-17,10.35,1.51,8.84,0,11.558487094032301,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.7292402775229103,0,93.63,93.63,93.63,93.63,11.06737589,8.46,1.51,0,0,0.0010857202007469998,23.3163603891583,0.039421465,6.07,6.03,-0.0391225342555433,8.6,1070.0,2.012,8.042,99.02,-0.07023972099999999,54.9,44.0,45.1
1975-07-18,10.35,1.51,8.84,0,11.5049957961239,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.71713641575379,0,93.2,93.2,93.2,93.2,11.01654846,8.46,1.51,0,0,0.00122412851076917,23.2107784771777,0.039606751,6.07,6.05,-0.0432108707067005,8.6,1070.0,2.012,8.062000000000001,99.34,-0.07023972099999999,54.9,44.0,45.1
1975-07-21,10.35,1.51,8.84,0,11.410773492777901,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.69540987540517,0,92.44,92.44,92.44,92.44,10.92671395,8.46,1.51,0,0,0.00136253682079132,23.022990877904896,0.039935814,6.08,6.2,-0.0417574172314149,8.6,1070.0,1.8719999999999999,8.072000000000001,99.63,-0.07023972099999999,54.9,44.0,45.1
1975-07-22,10.35,1.51,8.84,0,11.288168050388201,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.66697341552448,1,91.45,91.45,91.45,91.45,10.80969267,8.46,1.51,0,0,0.00150094513081349,22.7778892294851,0.040371614,6.1,6.34,-0.0366372323677084,8.6,1070.0,1.7619999999999998,8.102,99.71,-0.07023972099999999,54.9,44.0,45.1
1975-07-23,10.33,1.51,8.82,0,11.131010923931301,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.6303666723201697,2,90.18,90.18,90.18,90.18,10.65957447,8.46,1.51,0,0,0.0,22.4630080067943,0.040943686,6.5,6.34,-0.0154180679280509,8.6,1070.0,1.7519999999999998,8.092,100.21,-0.07023972099999999,54.9,44.0,45.1
1975-07-24,10.33,1.51,8.82,0,11.1170401749751,351.821827551038,0.0,0.0878613557913344,0.0,0,0,2.6275887718135897,3,90.07,90.07,90.07,90.07,10.646572099999998,8.46,1.51,0,0,0.0,22.437047626434197,0.040997214,6.31,6.19,-0.0150957314485039,8.6,1070.0,1.902,8.092,100.26,-0.07023972099999999,54.9,44.0,45.1
