,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY
1985-01-04,13.39,2.43,12.25,0,10.0561450058017,527.7327413265571,0.0,0.0407032931135038,0.0,0,1,7.59723287554219,0,163.68,163.36,164.57,164.55,9.878092939,16.57,1.14,0,0,0.0,21.744105888331898,0.04540436,8.18,7.82,0.024965818491052998,7.2,1528.0,3.54,11.6,152.11,-0.027363087999999997,52.0,55.0,50.3,42840.0,4.68710473,32520.0,1000.0
1985-01-07,13.39,2.43,12.14,0,10.090404690814301,527.7327413265571,0.0,0.0407032931135038,0.0,0,1,7.62464728815122,0,164.24,163.68,164.71,163.68,9.911888956,16.57,1.25,0,0,0.0,21.818715767076302,0.045264045,8.23,7.78,0.0369115240634604,7.2,1528.0,3.446,11.503,152.81,-0.027363087999999997,52.0,55.0,50.3,32520.0,4.906754932,47040.0,998.0
1985-01-08,13.39,2.43,12.12,0,10.07490029199,527.7327413265571,0.0,0.0407032931135038,0.0,0,1,7.61446352433602,0,163.99,163.91,164.59,164.24,9.896801448,16.57,1.27,0,0,0.0,21.7857146756137,0.045347568,8.3,7.79,0.0401823260570367,7.2,1528.0,3.3939999999999997,11.427999999999999,151.91,-0.027363087999999997,52.8,50.7,50.6,53940.0,3.58754242,39000.0,996.0
1985-01-09,13.39,2.43,12.13,0,10.1478631158082,527.7327413265571,0.0,0.0407032931135038,0.0,0,1,7.67114063920888,0,165.18,163.99,165.57,163.99,9.968617984,16.57,1.26,0,0,0.0,21.9440099395142,0.045035285999999994,8.02,7.69,0.0351607028396015,7.2,1528.0,3.512,11.46,152.4,-0.027363087999999997,52.8,50.7,50.6,32520.0,6.453930645,44340.0,994.0
1985-01-10,13.39,2.43,12.19,0,10.3400064923516,527.7327413265571,0.0,0.0407032931135038,0.0,0,1,7.81792399617164,0,168.31,164.99,168.31,165.18,10.15751358,16.57,1.2,0,0,0.0,22.3600319798865,0.044211928,8.23,7.74,0.0136894423304708,7.2,1528.0,3.4939999999999998,11.503,151.8,-0.027363087999999997,52.8,50.7,50.6,33480.0,8.786009748,54000.0,980.0
1985-01-11,13.39,2.43,12.2,0,10.3152845116579,527.7327413265571,0.0,0.0407032931135038,0.0,0,1,7.8007671538393994,0,167.91,167.58,168.72,168.31,10.13337357,16.57,1.19,0,0,0.0,22.307090015603,0.04433143,8.24,7.76,0.0195099371433431,7.2,1528.0,3.549,11.567,152.41,-0.027363087999999997,52.8,50.7,50.6,51480.0,5.777359646,34800.0,980.0
1985-01-14,13.39,2.43,12.23,0,10.474860954575501,527.7327413265571,0.0,0.0407032931135038,0.0,0,1,7.92298125956097,0,170.51,167.58,170.55,167.91,10.29028365,16.57,1.16,0,0,0.0,22.6526991620532,0.043669412000000005,8.15,7.7,0.0267044981029461,7.2,1528.0,3.595,11.567,153.89,-0.027363087999999997,52.8,50.7,50.6,34680.0,8.121082955,53580.0,974.0
1985-01-15,13.39,2.43,12.19,0,10.4931401412756,531.570797627113,0.0,0.0377403279828465,0.0,0,1,7.9383446658842995,0,170.81,170.4,171.82,170.51,10.30838865,16.57,1.2,0,0,-0.0023703721045258397,22.6927447234231,0.043606652999999995,8.03,7.73,0.0263701839607807,7.2,1528.0,3.478,11.459000000000001,153.47,-0.027363087999999997,52.8,50.7,50.6,52980.0,7.647261127,46200.0,973.0
1985-01-16,13.33,2.43,12.23,0,10.5163333855948,531.570797627113,0.0,0.0377403279828465,0.0,0,1,7.9574288030505,0,171.19,170.41,171.94,170.81,10.33132167,16.57,1.1,0,0,-0.0017777790783943801,22.7434134339742,0.043523765,8.51,7.74,0.0344655349303049,7.2,1528.0,,,153.64,-0.027363087999999997,52.8,50.7,50.6,48840.0,8.260290054,41040.0,979.0
1985-01-17,13.33,2.43,12.2,0,10.4879249788276,531.570797627113,0.0,0.0377403279828465,0.0,0,1,7.93747061619215,0,170.73,170.23,171.34,171.19,10.30356065,16.57,1.13,0,0,-0.0011851860522629199,22.682478141389698,0.043654977000000005,8.27,7.74,0.0338195693863179,7.2,1587.0,3.375,11.363,153.46,-0.027363087999999997,52.8,50.7,50.6,44880.0,5.3931526089999995,33720.0,984.0
