,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL
1987-05-21,10.64,3.09,9.57,0,16.6513314478087,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.211434351996601,3,280.17,278.21,282.31,278.23,18.4686882,15.17,1.07,0,0,0.0008892855914268689,28.8249345721777,0.029880951,6.77,5.53,0.0343484549434205,6.3,1699.0,3.31,8.863999999999999,95.54,-0.02109015,59.8,65.6,55.5,30660.0,9.395553086,51960.0,1084.0,6.42
1987-05-22,10.71,2.8,9.54,0,16.7709232659868,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.3141350088943,4,282.16,280.17,283.33,280.17,18.59986816,15.17,1.17,0,0,0.0,29.0210275853551,0.029678225,6.72,5.55,0.026320707055908,6.3,1699.0,3.0580000000000003,8.748,95.85,-0.02109015,59.8,65.6,55.5,30660.0,10.5294727,32100.0,1084.0,6.42
1987-05-26,10.69,2.8,9.43,0,17.1853667178984,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.6684718804777,5,289.11,282.16,289.11,282.16,19.05800923,15.17,1.26,1,0,0.0,29.7267057618543,0.028972605,6.97,5.61,-0.00275820905340919,6.3,1699.0,2.6439999999999997,8.482000000000001,97.46,0.023287076,59.8,65.6,55.5,30660.0,9.152358332999999,54000.0,1079.0,6.42
1987-05-27,10.61,2.8,9.39,0,17.164127879058498,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.6509516293365,4,288.73,288.19,290.78,289.07,19.03295979,15.17,1.22,1,0,0.0,29.6785185778415,0.02901857,6.97,5.76,0.0157674626904152,6.3,1699.0,2.7060000000000004,8.552999999999999,97.7,0.023287076,59.8,65.6,55.5,34740.0,8.526584865,47040.0,1075.0,6.42
1987-05-28,10.56,2.8,9.39,0,17.2861631101189,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.755719291159698,3,290.76,286.33,291.5,288.73,19.16677653,15.17,1.17,1,0,0.0,29.877922562920002,0.02882375,6.8,5.63,0.0142586202574417,6.3,1699.0,2.775,8.538,97.53,0.023287076,59.8,65.6,55.5,44760.0,11.83884601,53520.0,1076.0,6.42
1987-05-29,10.59,2.8,9.4,0,17.2482789168474,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.7239871721858,2,290.1,289.7,292.87,290.77,19.12326961,15.17,1.19,1,0,0.0,29.800899946763803,0.028896987000000002,6.63,5.68,0.0109641345280768,6.3,1699.0,2.64,8.463,97.65,0.023287076,59.8,65.6,55.5,53580.0,9.608937133,31500.0,1070.0,6.42
1987-06-01,10.57,2.8,9.36,0,17.2335774787285,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.7120456903337,1,289.83,289.23,291.96,290.12,19.10547132,15.17,1.21,1,0,0.0,29.7639892956,0.028931573999999998,6.74,5.7,0.0229891758513697,6.3,1699.0,2.44,8.425,98.04,0.023287076,59.8,65.6,55.5,53280.0,8.856765663,45540.0,1070.0,6.42
1987-06-02,10.54,2.8,9.41,0,17.153460441930402,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.6442657249508,0,288.46,286.93,290.94,289.82,19.015161499999998,15.17,1.13,0,0,0.0,29.614232602965302,0.029076684,6.56,5.76,0.0296190004225603,6.3,1699.0,2.887,8.777000000000001,96.34,0.023287076,59.8,65.6,55.5,33180.0,17.57422167,34680.0,1047.0,6.42
1987-06-03,10.61,2.8,9.38,0,17.4527503169383,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.900371437814801,0,293.47,288.46,293.47,288.56,19.34541859,15.17,1.23,0,0,0.0,30.119142368815304,0.028587871,6.58,5.69,0.0130380931668072,6.3,1699.0,2.747,8.585,97.38,0.023287076,59.8,65.6,55.5,30660.0,9.359699051,49320.0,1024.0,6.42
1987-06-04,10.63,2.8,9.38,0,17.550465857105,535.905552626278,0.017597042,0.0361376269185669,0.0,0,0,14.9843867557096,0,295.09,292.76,295.1,293.46,19.45220831,15.17,1.25,0,0,0.0,30.275856828928102,0.028438459,6.74,5.66,0.0117607131338667,6.3,1699.0,2.697,8.533,97.72,0.023287076,59.8,65.6,55.5,32700.0,7.423755227000001,50940.0,1015.0,6.42
