,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX
1990-01-02,9.84,3.37,8.87,0,18.0022688379174,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.9683502883955,1,359.69,351.98,359.69,353.39,15.16399663,23.72,0.9700000000000011,1,0,0.0,27.529783854615,0.030540187000000003,8.54,7.58,-0.029197208969653998,5.4,1361.0,0.121,7.93,94.25,-0.004982042,49.3,40.9,46.8,31320.0,11.24909995,54000.0,1599.0,4.96,0.0238191461101168,17.24
1990-01-03,9.85,3.37,8.9,0,17.953034654391,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.919283019082698,0,358.76,357.89,360.59,359.66,15.12478921,23.72,0.949999999999999,0,0,0.0,27.450828028835602,0.030454900000000003,8.37,7.63,-0.0332391689461685,5.4,1361.0,0.113,7.974,94.45,-0.004982042,49.3,40.9,46.8,48300.0,6.434875516,35640.0,1602.0,4.96,0.0273694594183688,18.19
1990-01-04,9.86,3.37,8.89,0,17.7957430025962,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.7502806324667,0,355.67,352.89,358.76,358.74,14.99451939,23.72,0.969999999999999,0,0,0.0,27.2065545527261,0.031121545,8.29,7.59,-0.0210819729758184,5.4,1361.0,0.14400000000000002,7.972,92.54,-0.004982042,49.3,40.9,46.8,44880.0,10.13159745,30660.0,1609.0,4.96,0.0307701577172807,19.22
1990-01-05,9.84,3.37,8.88,0,17.6194902678075,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.5601528001656,0,352.2,351.35,355.67,355.65,14.84822934,23.72,0.959999999999999,0,0,0.0,26.933464988168897,0.031448041,8.2,7.54,-0.0362624608477677,5.3,1361.0,0.203,7.984,93.06,-0.004982042,49.3,40.9,46.8,49260.0,7.702181359,30660.0,1619.0,4.96,0.0339641045059262,20.11
1990-01-08,9.88,3.37,8.9,0,17.696390839939,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.651017595188197,0,353.79,350.54,354.24,352.19,14.91526138,23.72,0.98,0,0,0.0,27.047329215637898,0.031301054,8.27,7.54,-0.0494174100461463,5.3,1361.0,0.264,8.012,92.05,-0.004982042,49.3,40.9,46.8,31200.0,7.574841116,52260.0,1637.0,4.96,0.0342059255608611,20.26
1990-01-09,9.88,3.37,8.92,0,17.485201359516598,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.4219590871065,0,349.62,349.61,354.17,353.83,14.73946037,23.72,0.9600000000000011,0,0,0.0,26.7210435395697,0.031660087999999996,8.25,7.55,-0.0264915001885913,5.3,1361.0,0.220000000000001,8.009,92.36,-0.004982042,49.3,40.9,46.8,52740.0,9.77624953,43320.0,1644.0,4.96,0.0422998752760502,22.2
1990-01-10,9.86,3.37,8.91,0,17.3670854178215,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.296196385303602,0,347.31,344.32,349.62,349.6,14.6420742,23.72,0.949999999999999,0,0,0.0,26.537128544635802,0.03188218,8.12,7.5,-0.0297343197232897,5.3,1361.0,0.267999999999999,8.014,92.5,-0.004982042,49.3,40.9,46.8,47220.0,11.33110018,30660.0,1652.0,4.96,0.0429123853754212,22.44
1990-01-11,9.88,3.37,8.92,0,17.4254965636075,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,19.3665402319508,0,348.53,347.31,350.14,347.35,14.69350759,23.72,0.9600000000000011,0,0,0.0,26.622928116577395,0.031770579,8.21,7.55,-0.0308936775928331,5.3,1361.0,0.247000000000001,8.044,92.44,-0.004982042,49.3,40.9,46.8,30660.0,5.4600499110000005,36960.0,1655.0,4.96,0.0326131825162305,20.05
1990-01-12,9.86,3.37,8.94,0,16.993014081789802,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,18.8912186161321,0,339.93,339.49,348.53,348.49,14.34909244,23.69,0.92,0,0,0.0,25.9590364152954,0.032577295,8.16,7.5,-0.00306898945905453,5.3,1361.0,0.38,8.096,92.56,-0.004982042,49.3,40.9,46.8,53700.0,12.82920464,30660.0,1658.0,4.96,0.0518132022621753,24.64
1990-01-15,9.87,3.37,8.94,0,16.8440612185826,600.400916046067,0.018858758,0.0454993180696679,0.0,0,1,18.7309365711317,0,337.0,336.57,339.94,339.93,14.22541157,23.69,0.93,0,0,0.0,25.7284714155423,0.032860534,8.16,7.5,-0.0206080887417088,5.3,1361.0,0.39699999999999896,8.113,92.95,-0.004982042,49.3,40.9,46.8,52620.0,6.600726138,30660.0,1660.0,4.96,0.0603793664989447,26.34
1990-01-16,9.88,3.37,8.95,0,17.0289873430555,600.400916046067,0.018858758,0.0421798129468156,0.0,0,1,18.9419165770896,0,340.75,333.37,340.75,336.97,14.38370621,23.69,0.930000000000001,0,0,-0.00265560409828183,26.0077594951007,0.032528247,8.31,7.63,-0.027953341525605,5.3,1361.0,0.33399999999999996,8.196,92.87,-0.004982042,49.3,40.9,46.8,33240.0,10.7722875,54000.0,1663.0,4.96,0.0487582065434694,24.18
1990-01-17,9.92,3.37,8.97,0,16.8590906135024,605.916966864865,0.018858758,0.0421798129468156,0.0,0,1,18.758243804539003,0,337.4,336.26,342.01,340.77,14.24229633,23.69,0.949999999999999,0,0,-0.00199170307371137,25.745219661672696,0.032889745,8.26,7.71,-0.0221450622623003,5.3,1361.0,0.256000000000001,8.191,92.77,-0.004982042,49.3,40.9,46.8,52980.0,11.72768083,41580.0,1663.0,4.96,0.0486105361901034,24.16
1990-01-18,9.92,3.37,9.02,0,16.8426211212411,605.916966864865,0.018858758,0.0453519012529595,0.0,0,1,18.8047153694066,0,338.19,333.98,338.38,337.39,14.27564373,23.69,0.9,0,0,0.00120986859577421,25.717007964215302,0.032798131,8.23,7.78,-0.0372147204180251,5.3,1235.0,0.264000000000001,8.302999999999999,93.78,-0.004982042,49.3,40.9,46.8,38460.0,13.15527241,53640.0,1664.0,4.96,0.0488102826808517,24.34
1990-01-19,9.97,3.13,9.01,0,16.888001900886902,605.916966864865,0.018858758,0.0453519012529595,0.0,0,1,18.860645929693803,0,339.15,338.19,340.48,338.23,14.31616716,23.69,0.9600000000000011,0,0,0.0012393519591158801,25.783194929662198,0.032725932,8.19,7.74,-0.040900523600055,5.3,1235.0,0.250999999999999,8.232000000000001,93.76,-0.004982042,49.3,40.9,46.8,30660.0,6.629328515,49740.0,1669.0,4.96,0.0405313262674378,22.5
1990-01-22,9.95,3.13,9.01,0,16.448935054383398,605.916966864865,0.018858758,0.0453519012529595,0.0,0,1,18.3754840094614,1,330.38,330.28,339.96,339.14,13.94596876,23.69,0.94,0,0,0.00126883532245756,25.1101270465041,0.033534112000000005,8.19,7.73,-0.0165403206463821,5.3,1235.0,0.30099999999999894,8.27,94.36,-0.004982042,49.3,40.9,46.8,53280.0,13.59384216,31440.0,1668.0,4.96,0.0604384460020666,26.7
1990-01-23,9.96,3.13,9.03,0,16.5078040002689,605.916966864865,0.018858758,0.0453519012529595,0.0,0,1,18.4464470759912,2,331.61,328.67,332.76,330.41,13.9978894,23.69,0.930000000000001,0,0,0.0006344176612287781,25.197298769510603,0.033243871,8.19,7.67,-0.027104763208751,5.3,1235.0,0.401,8.349,93.05,-0.004982042,49.3,40.9,46.8,38220.0,12.19726245,51720.0,1663.0,4.96,0.0494777273717043,24.72
1990-01-24,9.97,3.13,9.07,0,16.4382419603023,605.916966864865,0.018858758,0.0453519012529595,0.0,0,1,18.3739025027615,3,330.26,324.17,331.71,331.51,13.94090333,23.69,0.9,0,0,0.0,25.0884273073179,0.033482711,8.4,7.67,-0.0043213284913106,5.3,1235.0,0.452,8.366,92.87,-0.004982042,49.3,40.9,46.8,32460.0,17.55544588,53340.0,1653.0,4.96,0.0504299725495645,25.39
