,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB
1990-01-31,10.12,3.13,9.15,0,16.3677994698649,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.3212081918922,2,329.08,322.98,329.08,323.02,13.89109329,23.69,0.969999999999999,1,0,0.0,24.970556798777398,0.033614106,8.26,7.74,0.0133142822667986,5.3,1235.0,0.408999999999999,8.418,92.55,0.004569996,49.3,40.9,46.8,30660.0,9.030843402999999,53940.0,1644.0,4.96,0.0445357821899929,25.36,1.9862
1990-02-01,10.11,3.13,9.14,0,16.351043192156,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.3076321323907,1,328.79,327.76,329.86,329.07,13.87885184,23.69,0.969999999999999,1,0,0.0,24.9438158176268,0.033302016000000004,8.25,7.76,0.0118278629668547,5.3,1235.0,0.395,8.413,92.18,0.004569996,49.3,40.9,46.8,34380.0,6.179278871,31320.0,1642.0,4.96,0.0421061067836514,24.87,1.9813
1990-02-02,10.1,3.13,9.15,0,16.454625338579,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.428808618509397,0,330.92,328.09,332.1,328.78,13.96876319,23.69,0.949999999999999,0,0,0.0,25.1005328381953,0.033212166,8.23,7.81,0.00735215347403852,5.3,1235.0,0.439,8.494,92.44,0.004569996,49.3,40.9,46.8,30960.0,6.251665851,45540.0,1638.0,4.96,0.039717452534469996,24.32,1.9947
1990-02-05,10.09,3.13,9.19,0,16.498519700734402,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.4831745020784,0,331.85,330.45,332.16,330.91,14.00802026,23.69,0.9,0,0,0.0,25.1661495377571,0.033152628999999996,8.22,7.82,-0.00612108373578631,5.3,1235.0,0.456,8.519,91.49,0.004569996,49.3,40.9,46.8,31020.0,5.031217829,53880.0,1619.0,4.96,0.04113196141278799,24.54,1.9986
1990-02-06,10.12,3.13,9.24,0,16.3873090988395,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.3637721443711,0,329.66,328.2,331.86,331.85,13.91557619,23.69,0.879999999999999,0,1,0.0,24.995102600128998,0.033641357999999996,8.19,7.82,0.00334110708688595,5.3,1235.0,0.516,8.58,91.45,0.004569996,49.3,40.9,46.8,47940.0,6.992933155,30660.0,1606.0,4.96,0.0419758456212034,24.69,1.9859
1990-02-07,10.13,3.13,9.25,0,16.5882647163342,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.5941816337625,0,333.75,326.55,333.76,329.58,14.08822288,23.69,0.880000000000001,0,0,0.0,25.299991198386003,0.033413782999999996,8.22,7.81,-0.00600448533600245,5.3,1235.0,0.474,8.536,91.68,0.004569996,49.1,50.8,47.2,32460.0,10.24808228,53280.0,1588.0,4.96,0.0396521403759143,24.29,2.0115
1990-02-08,10.14,3.13,9.22,0,16.5466505663727,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.5527440435323,0,332.96,332.0,336.09,333.74,14.05487547,23.69,0.92,0,0,0.0,25.2350054497616,0.033334635,8.21,7.81,0.00499936954995234,5.3,1235.0,0.35800000000000104,8.429,91.92,0.004569996,49.1,50.8,47.2,52140.0,7.303680521,37320.0,1583.0,4.96,0.0374603968454585,23.77,2.008
1990-02-09,10.14,3.13,9.18,0,16.5770985194561,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.5921022745363,0,333.62,332.41,334.6,333.02,14.08273533,23.69,0.9600000000000011,0,0,0.0,25.279819538245803,0.033439212,8.21,7.76,-0.00348576638173031,5.3,1235.0,0.27699999999999897,8.29,91.94,0.004569996,49.1,50.8,47.2,35640.0,7.184665439,32580.0,1583.0,4.96,0.0371902087377204,23.69,2.0112
1990-02-12,10.11,3.13,9.2,0,16.3988773226062,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.3974067771371,0,330.08,329.97,333.62,333.56,13.93330519,23.69,0.91,0,0,0.0,25.0065486508818,0.033740972,8.21,7.73,-0.007138058766558371,5.3,1235.0,0.42700000000000005,8.385,92.11,0.004569996,49.1,50.8,47.2,36600.0,8.038837949,30660.0,1579.0,4.96,0.0415643757279957,24.38,1.9901
1990-02-13,10.11,3.13,9.2,0,16.443250178677598,605.916966864865,0.016293003,0.0453519012529595,0.0,0,1,18.4523821364833,0,331.02,327.92,331.61,330.09,13.97298438,23.69,0.91,0,0,0.0,25.0726800319748,0.033686333,8.21,7.58,-0.0109590722674461,5.3,1235.0,0.531000000000001,8.32,92.21,0.004569996,49.1,50.8,47.2,35760.0,9.733819101,43680.0,1579.0,4.96,0.0383030964432993,23.76,1.9964
