,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR
1997-01-08,8.11999989,6.41,7.45,1,27.1960000541647,707.851589235771,0.011150731,0.0320129769878132,1.043187107,0,1,50.30935841766,0,748.41,747.71,755.72,753.23,19.58163265,38.22,0.6699998900000009,0,0,0.0,40.040753986822,0.019418501,5.2,5.01,0.0266808697923672,5.4,1514.0,1.4409999999999998,6.591,89.45,-0.012526700000000002,61.7,52.0,55.2,51900.0,12.25394825,31800.0,1510.0,1.88,0.0266085076625218,20.24,3.2109,34.6932,-7.8,3.10628634,1252.0,63.98,0.33
1997-01-09,8.13000011,6.41,7.39,0,27.421488829555802,707.851589235771,0.011150731,0.0320129769878132,1.13172758,1,1,50.730357232871,0,754.85,748.41,757.68,748.41,19.75013082,38.22,0.74000011,0,0,0.0,40.3779522586294,0.019243982,5.25,4.99,0.0224054557496337,5.4,1514.0,1.385,6.502999999999999,89.45,-0.012526700000000002,61.7,52.0,55.2,30660.0,8.744117987000001,51240.0,1505.0,1.88,0.029334547596371,20.91,3.2391,34.8103,-7.8,3.055620036,1632.0,6.07,0.35
1997-01-10,8.06000042,6.41,7.46,0,27.5818390213486,707.851589235771,0.011150731,0.0320129769878132,1.069418258,0,1,51.277655692644,0,759.5,746.92,759.65,754.85,19.87179487,38.22,0.60000042,0,0,0.0,40.6192133993597,0.01912474,5.17,5.02,0.0177347444859432,5.3,1514.0,1.45,6.608,89.77,-0.012526700000000002,61.7,52.0,55.2,31380.0,13.35780715,53760.0,1507.0,1.88,0.023329394739080002,19.63,3.2594,34.8477,-7.8,3.053985639,1273.0,45.15,0.34
1997-01-13,8.14999962,6.41,7.43,0,27.5736435558654,707.851589235771,0.011150731,0.0320129769878132,1.0637395809999999,0,1,51.203965407226,0,759.51,756.69,762.85,759.5,19.87205651,38.22,0.719999619999999,0,0,0.0,40.6122109587158,0.019179063,5.24,5.03,0.0203775064672318,5.3,1514.0,1.446,6.6129999999999995,89.98,-0.012526700000000002,61.7,52.0,55.2,52020.0,8.435803085,36780.0,1511.0,1.88,0.0255220067351861,19.84,3.2681,34.8691,-7.8,3.0155773110000004,1392.0,89.95,0.32
1997-01-14,8.10999966,6.41,7.35,0,27.904439102959103,707.851589235771,0.011150731,0.0345302847991906,1.064152431,0,1,51.845968392479,0,768.86,759.51,772.04,759.51,20.11669283,38.22,0.75999966,0,0,0.0020138462491019102,41.104359728864395,0.018950446,5.14,5.03,0.0159341445800669,5.3,1514.0,1.3530000000000002,6.513999999999999,90.31,-0.012526700000000002,61.7,52.0,55.2,30660.0,8.259967654,52680.0,1511.0,1.88,0.0236805678343353,19.27,3.3075,35.1032,-7.8,2.987792564,1813.0,59.83,0.37
1997-01-15,8.03999996,6.41,7.35,0,27.7656663887065,707.851589235771,0.011150731,0.0345302847991906,1.0557315329999999,0,1,51.719668747916,0,767.2,763.72,770.95,768.86,20.07326007,38.22,0.68999996,0,0,0.0015103846868264302,40.904942096693794,0.018932899,5.22,5.0,0.0255346230973822,5.3,1514.0,1.3780000000000001,6.518,89.91,-0.012526700000000002,61.7,52.0,55.2,36180.0,10.37561371,51960.0,1506.0,1.88,0.0251005077960507,19.4,3.3055,35.1147,-7.8,2.9861581669999997,1283.0,30.87,0.38
1997-01-16,8.03999996,6.41,7.41,0,27.849415323569797,707.851589235771,0.011150731,0.0345302847991906,1.006170856,0,1,51.930168155521,0,769.75,765.25,772.05,767.2,20.13997907,38.22,0.629999959999999,0,0,0.00100692312455095,41.033338526750896,0.018828464,5.26,5.03,0.0075063208669578,5.3,1514.0,1.393,6.553,90.08,-0.012526700000000002,61.7,52.0,55.2,48540.0,9.809803005,37320.0,1496.0,1.88,0.0258887569125343,19.61,3.3175,34.7533,-7.8,2.9322230680000003,1354.0,40.14,0.32
1997-01-17,8.09000015,6.41,7.39,0,28.073092819410896,713.9346888307659,0.011150731,0.0345302847991906,1.02281127,0,1,52.245952967629,0,776.17,769.72,776.37,769.75,20.30795395,38.22,0.70000015,0,0,0.000503461562275473,41.3677723240747,0.018714083,5.14,5.02,-0.0115010025962019,5.3,1514.0,1.395,6.542000000000001,90.86,-0.012526700000000002,61.7,52.0,55.2,30660.0,5.360529421,53040.0,1483.0,1.88,0.0229082969140791,18.63,3.3452,34.8184,-7.8,2.92078229,1542.0,56.68,0.33
1997-01-20,8.07999992,6.41,7.39,0,28.0836715850178,713.9346888307659,0.011150731,0.0345302847991906,1.007217241,0,1,52.309067089211,0,776.7,774.19,780.08,776.17,20.32182104,38.22,0.689999920000001,0,0,0.0,41.3882138884169,0.018701313,5.14,5.02,-0.0155632177098379,5.3,1514.0,1.401,6.547000000000001,91.53,-0.012526700000000002,61.7,52.0,55.2,,5.360529421,,1474.0,1.88,0.0229082969140791,18.6,3.3477,34.7169,-7.8,2.930588672,1284.0,128.27,0.4
1997-01-21,8.07999992,6.41,7.35,0,28.292695791189498,713.9346888307659,0.011150731,0.0345302847991906,0.946301178,0,1,52.730065904421,0,782.72,772.0,783.72,776.7,20.47933019,38.22,0.729999920000001,0,0,0.0,41.701040233770705,0.018547693,5.33,5.02,-0.0207251290184213,5.3,1514.0,1.3630000000000002,6.5089999999999995,91.62,-0.012526700000000002,61.7,52.0,55.2,32580.0,8.230473381,50160.0,1455.0,1.88,0.019543360101009,17.81,3.3729,34.7669,-7.8,2.9224166869999997,1308.0,116.57,0.36
