,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR,sentiment2,sentiment3,sentiment1
1998-01-02,7.28000021,6.66,6.64,0,32.369375597718204,772.6181590803259,0.0128097,0.0193453770920282,1.22247218,0,1,66.735186655658,1,975.04,965.73,975.04,970.43,24.08100766,40.49,0.64000021,1,0,0.0,48.28386886102779,0.015605862,6.06,5.17,-0.0563262352878119,4.6,1531.0,0.355,5.647,100.1,0.009057186,60.9,53.6,56.4,49740.0,10.17314913,31500.0,1231.0,1.61,0.0383124792532219,23.42,3.9307,51.5341,-7.0,2.307883445,1568.0,266.96,0.49,0.008556,-0.006225,-0.00045599999999999997
1998-01-05,7.21000004,6.66,6.54,0,32.4278385424947,772.6181590803259,0.0128097,0.0193453770920282,1.246320724,0,1,66.884780865688,0,977.07,969.0,982.63,975.04,24.13114349,40.49,0.67000004,0,0,0.0,48.3699379731446,0.015579323999999999,5.51,5.08,-0.0404538884930009,4.6,1531.0,0.276,5.506,101.06,0.009057186,60.9,53.6,56.4,47520.0,13.57483362,39480.0,1232.0,1.61,0.0424846839229603,24.36,3.9373,51.3821,-7.0,2.2506795530000003,1659.0,117.16,0.42,0.005940999999999999,-0.002725,-0.005757
1998-01-06,7.11999989,6.66,6.54,0,32.070866205985496,772.6181590803259,0.0128097,0.0193453770920282,1.121729809,0,1,65.815991841734,0,966.58,962.68,977.07,977.07,23.87206718,40.49,0.57999989,0,0,0.0,47.8366038956123,0.015747915,5.35,5.08,-0.0104794764640639,4.6,1531.0,0.263999999999999,5.4670000000000005,101.4,0.008698583000000001,60.9,53.6,56.4,52440.0,13.94713845,30660.0,1228.0,1.61,0.0485232867331579,25.66,3.8960000000000004,50.8051,-7.0,2.175497295,1039.0,43.33,0.42,0.005605,-0.001556,0.007349
1998-01-07,7.11999989,6.66,6.6,1,31.976476705332303,772.6181590803259,0.0128097,0.0193453770920282,0.998494564,0,1,65.986998085567,0,964.0,952.67,966.58,966.58,23.80834774,40.49,0.51999989,0,0,0.0,47.694956936351296,0.015820166,5.29,5.09,-0.00849243145237536,4.6,1531.0,0.327,5.529,100.64,0.008698583000000001,60.9,53.6,56.4,43620.0,13.05246723,30660.0,1226.0,1.61,0.0453296823567746,25.07,3.8848,50.6071,-7.0,2.1599705240000002,1213.0,152.06,0.51,0.006481000000000001,-0.006653,-0.017344
1998-01-08,7.17000008,6.66,6.55,0,31.704068700381605,772.6181590803259,0.0128097,0.0193453770920282,0.916788229,1,1,65.409888265956,0,956.05,955.04,964.0,964.0,23.61200296,40.49,0.620000080000001,0,0,0.0,47.2879327397124,0.015981246,5.42,4.96,-0.008060395371874059,4.6,1531.0,0.374,5.471,101.02,0.008698583000000001,57.2,52.2,54.5,53520.0,10.37965624,30660.0,1223.0,1.61,0.0497877548238404,26.01,3.8534,50.7903,-7.0,2.1215621959999997,1120.0,45.13,0.55,0.007154000000000001,-0.008528,-0.020075
1998-01-09,7.13000011,6.66,6.52,0,30.755175986079802,772.6181590803259,0.0128097,0.0193453770920282,0.8027570890000001,0,1,63.144055535174,0,927.69,921.72,956.05,956.05,22.91158311,40.49,0.610000110000001,0,0,0.0,45.8725910902284,0.016469801000000003,5.48,4.92,0.0414112291546455,4.7,1531.0,0.401000000000001,5.412999999999999,100.93,0.008698583000000001,57.2,52.2,54.5,53220.0,22.05338249,30660.0,1224.0,1.61,0.0629146925038929,28.69,3.7392,51.6826,-7.0,2.09868064,554.0,55.25,0.57,0.005804999999999999,-0.006383,-0.029789999999999997
1998-01-12,7.11000013,6.66,6.51,0,31.1285666693822,772.6181590803259,0.0128097,0.0168280692806508,0.7524699770000001,0,1,64.29834768104399,0,939.21,912.83,939.25,927.69,23.1960978,40.49,0.600000130000001,0,0,-0.0020138462491019,46.4292944311736,0.016223656,5.48,4.92,0.0393928230233195,4.7,1531.0,0.342,5.364,100.93,0.008698583000000001,57.2,52.2,54.5,31320.0,22.60906603,52980.0,1221.0,1.61,0.0563006764313527,28.02,3.7918,51.7936,-7.0,2.083153869,1343.0,141.94,0.59,0.007658,-0.0077670000000000005,-0.023671
1998-01-13,7.099999900000001,6.66,6.52,0,31.547816496981,772.6181590803259,0.0128097,0.0174459253398487,0.877271446,0,1,65.196130461165,0,952.12,939.21,952.14,939.21,23.51494196,40.49,0.579999900000001,0,0,-0.00101609983946815,47.05400755190289,0.016047494,5.42,5.07,0.0159083398306595,4.7,1531.0,0.242999999999999,5.435,100.71,0.008698583000000001,57.2,52.2,54.5,30660.0,10.05417753,54000.0,1214.0,1.61,0.0416689705631548,25.17,3.8435,51.4407,-7.0,2.0954118459999997,2136.0,48.26,0.45,0.007079,-0.0067209999999999995,-0.029207
1998-01-14,7.11999989,6.66,6.54,0,31.7319861410901,772.6181590803259,0.0128097,0.0174459253398487,0.935745402,0,1,65.495391387872,0,957.94,948.0,958.12,952.12,23.65868116,40.49,0.57999989,0,0,-0.000636209489032247,47.32791047201321,0.015969257,5.36,5.04,0.0024293208809769602,4.7,1531.0,0.302,5.452000000000001,100.74,0.008698583000000001,57.2,52.2,54.5,39180.0,10.2586963,53700.0,1204.0,1.61,0.0352079961740364,23.75,3.8664,51.3995,-7.0,2.119110601,1877.0,35.39,0.37,0.004868,-0.004713,0.00609
1998-01-15,7.13000011,6.66,6.55,0,31.4651200825251,772.6181590803259,0.0128097,0.0174459253398487,0.970263949,0,1,64.950293253081,0,950.73,950.27,957.94,957.94,23.4806125,40.49,0.58000011,0,0,-0.000256319138596341,46.929254626061706,0.016100986,5.6,4.98,0.00933142036042153,4.7,1531.0,0.35000000000000103,5.457999999999999,100.98,0.008698583000000001,57.2,52.2,54.5,52440.0,9.923354787000001,30660.0,1191.0,1.61,0.0336867213649364,23.45,3.8372,51.3404,-7.0,2.143626555,1350.0,47.49,0.6,0.005149,-0.004098,-0.011077
