,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR,sentiment2,sentiment3,sentiment1,Hulbert.sentiment
2000-04-10,8.26000023,3.7,7.52,0,41.975235613990996,862.108782515392,0.011749217,0.0298529631496818,0.948582865,0,1,105.90518293033001,0,1504.46,1503.35,1527.19,1516.35,30.6407332,49.1,0.74000023,0,0,-0.0010919020301914301,59.137885766588106,0.011045451999999999,6.05,5.69,-0.0703607328027977,4.1,1781.0,-0.0780000000000003,5.771,105.68,0.013128151000000001,56.2,78.7,54.9,52680.0,16.21990175,39120.0,1686.0,1.92,0.008473401288271171,25.99,5.0252,36.3172,10.9,1.7791,1415.0,47.49,0.33,0.01158,-0.002537,0.02827,0.287
2000-04-11,8.23999977,3.7,7.62,0,41.8548743163932,862.108782515392,0.011749217,0.0298529631496818,1.002692678,0,1,105.59802050788,0,1500.59,1486.78,1512.8,1504.46,30.56191446,49.1,0.619999770000001,0,0,-0.000727934686794284,58.96934907886539,0.011102386,5.97,5.67,-0.0413770279511899,4.1,1781.0,0.0379999999999994,5.882000000000001,105.94,0.013128151000000001,56.2,78.7,54.9,31620.0,25.03217834,45540.0,1684.0,1.92,0.017808192608794998,27.25,5.0141,36.3139,10.9,1.8894,1485.0,29.48,0.42,0.011839,-0.008542000000000001,-0.000978,0.35200000000000004
2000-04-12,8.34000015,3.7,7.67,1,40.910620830655,862.108782515392,0.011749217,0.0298529631496818,0.9779472509999999,0,1,102.70191766763,0,1467.17,1466.15,1509.1,1500.59,29.88126273,49.1,0.67000015,0,0,-0.000363967343397144,57.64053324665029,0.011423263999999999,5.93,5.67,-0.0229119690144518,4.1,1781.0,0.113,5.935,105.96,0.013128151000000001,56.2,78.7,54.9,53940.0,21.62845952,31080.0,1681.0,1.92,0.026558679447421005,28.98,4.904,36.455,10.9,1.9101,1527.0,14.63,0.5,0.011913,-0.0056240000000000005,-0.000121,0.309
2000-04-13,8.40999985,3.7,7.64,0,40.155375158736,862.108782515392,0.011749217,0.0298529631496818,0.907734567,0,1,101.27583871646999,0,1440.51,1439.34,1477.52,1467.17,29.33828921,49.1,0.76999985,0,0,0.0,56.578508235175,0.011634761,5.97,5.64,-0.00413705687804403,4.1,1781.0,0.085,5.906000000000001,106.14,0.013128151000000001,56.2,78.7,54.9,54000.0,31.82477775,41880.0,1679.0,1.92,0.0274344244016604,29.4,4.8174,36.6263,10.9,1.8773,1257.0,79.12,0.57,0.011756,-0.002346,0.025833999999999996,0.31
2000-04-14,8.39000034,3.7,7.63,0,37.8040421985204,861.7568394614709,0.011749217,0.0368869898070612,0.809615966,0,1,95.483633035982,0,1356.56,1339.4,1440.51,1440.51,27.6228874,49.11,0.76000034,0,0,0.00562722132590352,53.26912888212829,0.012347541,6.08,5.64,0.0438320433578051,4.1,1781.0,0.0729999999999995,5.85,105.47,0.013128151000000001,56.2,78.7,54.9,53400.0,50.9422567,30660.0,1676.0,1.92,0.0415412415557219,33.49,4.5372,38.9362,10.9,1.8466,401.0,38.4,0.77,0.012779,-0.008707,-0.019688999999999998,0.158
2000-04-17,8.38000011,3.7,7.75,0,38.8151694628586,861.7568394614709,0.011749217,0.0368869898070612,0.816284605,0,1,98.818539336871,0,1401.44,1346.5,1401.53,1356.56,28.54838053,49.09,0.630000109999999,0,0,0.00422041599442764,54.6966639246229,0.011952121000000001,6.18,5.64,0.0501827386869454,4.1,1781.0,0.231,6.037999999999999,106.13,0.013128151000000001,56.2,78.7,54.9,41880.0,46.22163154,53340.0,1674.0,1.92,0.00685602965262955,28.95,4.6869,39.1211,10.9,2.0426,1254.0,73.74,0.66,0.012218000000000001,-0.008298,-0.018765,0.18899999999999997
2000-04-18,8.51000023,3.7,7.72,0,39.916391846894605,861.7568394614709,0.011749217,0.0368869898070612,0.8626520870000001,0,1,101.42938763176001,1,1441.61,1397.81,1441.61,1401.44,29.45668165,48.94,0.79000023,0,0,0.00281361066295176,56.250300485432604,0.011614396,5.93,5.64,0.0127562019590816,4.1,1604.0,0.24600000000000002,6.059,106.63,0.013128151000000001,56.2,78.7,54.9,31440.0,20.81233088,53520.0,1670.0,1.92,-0.0108438874504436,26.12,4.8319,39.5155,10.9,2.0846,1926.0,71.44,0.55,0.010698000000000001,-0.001051,0.051006,0.18899999999999997
2000-04-19,8.47999954,3.7,7.64,0,39.5136481412189,861.7568394614709,0.011749217,0.0368869898070612,0.8488236920000001,0,1,100.48599248732,2,1427.47,1424.26,1447.69,1441.61,29.16775644,48.94,0.83999954,0,0,0.00140680533147588,55.6848333663955,0.011740996,5.93,5.64,0.0187902299254433,4.1,1604.0,0.18,5.992000000000001,107.13,0.013128151000000001,56.2,78.7,54.9,52200.0,20.34532508,39960.0,1661.0,1.92,-0.00605925864960112,27.02,4.7825,39.5352,10.9,2.0236,1435.0,19.92,0.5,0.011124,-0.005063000000000001,0.013068000000000001,0.18899999999999997
2000-04-20,8.40999985,4.0,7.62,0,39.698087248007,861.7568394614709,0.011749217,0.0368869898070612,0.90296077,0,1,100.96867629402,3,1434.54,1422.08,1435.49,1427.47,29.31221904,48.94,0.78999985,0,0,0.0,55.946671101651404,0.011693783000000001,6.05,5.62,0.007774011518394091,4.1,1604.0,0.196,5.994,107.45,0.013128151000000001,56.2,78.7,54.9,41280.0,12.58529078,31440.0,1656.0,1.92,-0.0122310559276796,25.85,4.8082,39.4858,10.9,2.0216,1638.0,13.65,0.68,0.010374,-0.004723,0.028804000000000003,0.276
2000-04-24,8.39999962,4.0,7.62,0,39.5573734290544,861.7568394614709,0.011749217,0.0368869898070612,1.03285999,0,1,99.871667642415,4,1429.86,1407.13,1434.54,1434.54,29.22256284,48.93,0.779999619999999,0,0,0.0,55.750333682653896,0.011739603999999999,5.9,5.6,0.0321788332159005,4.1,1604.0,0.252000000000001,6.017,107.28,0.013128151000000001,56.2,78.7,54.9,52200.0,22.57701277,30660.0,1656.0,1.92,-0.00821726487706444,27.37,4.7952,39.044000000000004,10.9,2.0753,1285.0,85.56,0.42,0.012928,-0.010384000000000001,-0.030455,0.146
