,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR,sentiment2,sentiment3,sentiment1,Hulbert.sentiment,TYVIX,MVOLE
2004-01-02,6.61000013,5.7,5.73,0,29.9783657001614,864.344147208465,0.012009255,0.0169356683638471,1.062670416,0,1,82.316150363801,1,1108.48,1105.08,1118.85,1111.92,22.65440425,48.93,0.88000013,1,0,0.0,38.3573111373531,0.01553844,1.01,0.902,0.0102034784219897,5.9,2070.0,3.4828,4.3794,86.92,-0.00775927,64.4,58.5,55.2,51600.0,9.323049429,35940.0,4761.0,3.27,0.0261092167495585,18.22,3.0745,44.1468,0.0,2.3724,1630.0,100.27,0.53,0.014863,-0.008476000000000001,-0.040706,0.405,9.2,8283.27
2004-01-05,6.69999981,5.7,5.7,0,30.341926876617,864.344147208465,0.012009255,0.0169356683638471,1.0756380509999999,0,1,83.211614329796,0,1122.22,1108.48,1122.22,1108.48,22.80471449,49.21,0.9999998099999989,0,0,0.0,38.830820957115705,0.015352507,0.97,0.902,0.00674238151785269,5.9,2070.0,3.4604,4.3774,86.07,-0.00775927,64.4,58.5,55.2,30660.0,6.398148807999999,53760.0,4757.0,3.27,0.0235795245698712,17.49,3.1114,44.3893,0.0,2.3813,2089.0,184.22,0.53,0.015332,-0.005811,-0.025638,0.436,9.02,13022.15
2004-01-06,6.67999983,5.7,5.63,0,30.373106776442103,864.344147208465,0.012009255,0.0169356683638471,0.9774955390000001,0,1,83.293020952218,0,1123.67,1118.44,1124.46,1122.22,22.83882114,49.2,1.04999983,0,0,0.0,38.878977178357,0.015377611000000001,0.92,0.9009999999999999,-8.185172200910409e-05,5.9,2070.0,3.3641,4.271,85.63,0.001591261,64.4,58.5,55.2,32940.0,6.594521875,52860.0,4764.0,3.27,0.0211358918321363,16.73,3.1158,43.9658,0.0,2.3547,1578.0,53.82,0.4,0.013071000000000001,-0.008448,-0.028571,0.436,8.39,11707.28
2004-01-07,6.61000013,5.7,5.61,0,30.43698779355,864.344147208465,0.012009255,0.0169356683638471,0.959652792,0,1,83.574239052965,0,1126.33,1116.45,1126.33,1123.67,22.90219601,49.18,1.00000013,0,0,0.0,38.96869345122221,0.0155602,0.94,0.8859999999999999,0.00486202040745925,5.9,2070.0,3.3449,4.2416,86.2,0.001591261,64.4,58.5,55.2,32880.0,7.927915872000001,54000.0,4804.0,3.27,0.0173104088222082,15.5,3.1233,43.9003,0.0,2.3433,1644.0,81.07,0.51,0.013161,-0.009568,-0.025994,0.444,8.21,12417.92
2004-01-08,6.57000017,5.7,5.63,0,30.5799985953738,864.344147208465,0.012009255,0.0169356683638471,0.999484908,1,1,83.907260897038,0,1131.92,1124.91,1131.92,1126.33,23.01586011,49.18,0.94000017,0,0,0.0,39.1599607108215,0.015266008000000001,0.99,0.847,0.00334812605055816,5.9,2070.0,3.3893,4.2553,85.54,0.001591261,71.3,66.0,60.1,33840.0,8.275860752,52260.0,4901.0,3.27,0.0175948417285819,15.61,3.1387,43.8396,0.0,2.3118,1879.0,47.01,0.52,0.012922999999999999,-0.0074,-0.019927,0.475,8.54,12947.59
2004-01-09,6.53000021,5.7,5.52,0,30.3002506931739,864.344147208465,0.012009255,0.0169356683638471,0.996243764,0,1,83.17460943583201,0,1121.86,1120.9,1131.36,1131.34,22.81130541,49.18,1.01000021,0,0,0.0,38.8099775547482,0.01537166,0.99,0.8420000000000001,0.0160642073199737,5.7,2070.0,3.2246,4.0803,85.11,0.001591261,71.3,66.0,60.1,52920.0,10.78140748,44880.0,5046.0,3.27,0.0209291453796723,16.75,3.111,43.968,0.0,2.2396,1478.0,82.32,0.45,0.01242,-0.008886,-0.028698,0.46,7.87,12254.3
2004-01-12,6.42000008,5.7,5.52,0,30.43730123757,864.344147208465,0.012009255,0.0169356683638471,0.957247603,0,1,83.78885530108,0,1127.23,1120.9,1127.85,1121.86,22.92515762,49.17,0.9000000800000011,0,0,0.0,38.99369242238029,0.015325195,1.0,0.847,0.0084414478363435,5.7,2070.0,3.2202,4.0861,85.56,0.001591261,71.3,66.0,60.1,32940.0,6.706331968,54000.0,5256.0,3.27,0.0213254988031199,16.82,3.1261,43.8045,0.0,2.2526,1907.0,52.84,0.61,0.015244999999999998,-0.011063,-0.035997,0.429,8.02,11165.41
2004-01-13,6.42999983,5.7,5.49,1,30.26708572335,864.344147208465,0.012009255,0.0169356683638471,0.939245398,0,1,83.300417786711,0,1121.22,1115.19,1129.07,1127.23,22.80292862,49.17,0.93999983,0,0,0.0,38.7838344332659,0.015399699,0.99,0.862,0.0221361868209451,5.7,2070.0,3.1347,4.011,85.51,0.001591261,71.3,66.0,60.1,49800.0,8.987832555,31020.0,5391.0,3.27,0.0254579669412511,18.04,3.1097,43.6017,0.0,2.2366,1488.0,95.37,0.48,0.01684,-0.010056,-0.0383,0.46,7.93,10357.54
2004-01-14,6.4000001,5.7,5.43,0,30.5101541630208,864.344147208465,0.012009255,0.0169356683638471,0.99322164,0,1,83.996069534327,0,1130.52,1121.22,1130.75,1121.22,22.99674532,49.16,0.9700001,0,0,0.0,39.103399906091,0.015302463,1.01,0.858,0.0112109791568255,5.7,2070.0,3.1277,3.9937,86.12,0.001591261,71.3,66.0,60.1,30660.0,5.838310162999999,53340.0,5459.0,3.27,0.0210715425808644,16.75,3.136,43.778999999999996,0.0,2.2033,2073.0,63.63,0.52,0.01255,-0.007737999999999999,-0.036777,0.366,8.2,10607.13
2004-01-15,6.34000015,5.7,5.41,0,30.461221866627604,864.344147208465,0.012009255,0.0185493589111312,0.965397475,0,1,84.20328376757399,0,1132.05,1124.5,1137.11,1130.52,23.02786819,49.16,0.93000015,0,0,0.00129095243782729,39.0488686077275,0.0151638,1.04,0.852,0.00552119810945332,5.7,2070.0,3.1028,3.9688,86.57,0.001591261,71.3,66.0,60.1,33360.0,10.78438986,46200.0,5485.0,3.27,0.0174214766392449,15.56,3.1404,43.6762,0.0,2.1962,1519.0,87.95,0.46,0.011863,-0.009667,-0.004065999999999999,0.366,7.88,11366.74
